sid,BUFF,NOT,AND,PI,PO,LP
0,28003,21218,24346,683,529,24
1,27227,22304,24501,683,529,24
2,25136,22685,23646,683,529,25
3,27505,22196,24586,683,529,24
4,25770,22853,24047,683,529,24
5,27473,21828,24386,683,529,25
6,24553,22970,23497,683,529,25
7,26798,22119,24194,683,529,24
8,29408,21871,25375,683,529,25
9,29499,21246,25108,683,529,25
10,27333,22246,24525,683,529,24
11,26871,21948,24145,683,529,24
12,29015,21868,25177,683,529,25
13,25573,22048,23546,683,529,24
14,24712,22393,23288,683,529,24
15,27669,21940,24540,683,529,24
16,25753,22586,23905,683,529,25
17,29495,21026,24996,683,529,25
18,23811,24186,23734,683,529,25
19,25847,22702,24010,683,529,26
20,28274,21415,24580,683,529,25
21,30887,21180,25769,683,529,25
22,25423,23996,24445,683,529,24
23,26470,22011,23976,683,529,25
24,24061,22740,23136,683,529,24
25,26359,25470,25650,683,529,27
26,26271,22258,24000,683,529,24
27,24676,22897,23522,683,529,24
28,25999,22508,23989,683,529,25
29,26901,22552,24462,683,529,24
30,23575,24794,23920,683,529,27
31,25275,22888,23817,683,529,24
32,26801,22422,24347,683,529,24
33,27823,21898,24596,683,529,24
34,25039,23238,23874,683,529,24
35,26428,22053,23976,683,529,24
36,29066,23019,25778,683,529,25
37,27312,21177,23980,683,529,24
38,29173,22304,25474,683,529,25
39,25172,22601,23622,683,529,24
40,26213,22800,24242,683,529,24
41,26798,22057,24163,683,529,25
42,30847,21008,25663,683,529,25
43,28565,22986,25511,683,529,25
44,27045,21730,24123,683,529,24
45,29811,21102,25192,683,529,25
46,26060,22883,24207,683,529,25
47,28441,22282,25097,683,529,25
48,24614,26419,25252,683,529,27
49,26612,22229,24156,683,529,24
50,31561,22128,26580,683,529,27
51,25035,22470,23488,683,529,25
52,27467,23268,25103,683,529,25
53,26135,22492,24049,683,529,24
54,24759,23002,23616,683,529,25
55,27214,21981,24333,683,529,25
56,25699,22292,23731,683,529,24
57,28621,22242,25167,683,529,25
58,25991,22816,24139,683,529,24
59,28728,21737,24968,683,529,25
60,27830,21605,24453,683,529,24
61,28585,21260,24658,683,529,24
62,25955,22320,23873,683,529,24
63,25204,22313,23494,683,529,25
64,25732,22119,23661,683,529,25
65,25376,22629,23738,683,529,24
66,26232,25109,25406,683,529,27
67,28362,21441,24637,683,529,25
68,25412,22615,23749,683,529,25
69,27366,22877,24857,683,529,25
70,23651,23308,23215,683,529,25
71,28084,22193,24874,683,529,25
72,27346,22491,24654,683,529,25
73,27604,22401,24738,683,529,25
74,26689,22090,24125,683,529,24
75,24562,22643,23338,683,529,25
76,24730,23301,23751,683,529,24
77,27168,22495,24567,683,529,24
78,26613,22066,24075,683,529,24
79,26477,22106,24027,683,529,24
80,28182,21645,24649,683,529,24
81,23940,23903,23657,683,529,25
82,26611,22840,24461,683,529,24
83,28608,21837,24958,683,529,24
84,27753,22198,24711,683,529,24
85,28496,21703,24835,683,529,25
86,26215,22036,23861,683,529,25
87,24128,22733,23166,683,529,24
88,26267,21840,23789,683,529,25
89,29886,20833,25095,683,529,25
90,27701,22218,24695,683,529,25
91,26152,22939,24281,683,529,24
92,25778,23449,24349,683,529,24
93,28690,21501,24831,683,529,24
94,28034,21113,24309,683,529,24
95,27062,21601,24067,683,529,24
96,25176,22253,23450,683,529,25
97,24375,23436,23641,683,529,24
98,25712,23581,24382,683,529,26
99,28118,22131,24860,683,529,24
100,25958,22189,23809,683,529,24
101,27669,24778,25959,683,529,27
102,28036,21995,24751,683,529,24
103,23996,24451,23959,683,529,25
104,29286,21757,25257,683,529,24
105,30368,20877,25358,683,529,25
106,25653,22800,23962,683,529,24
107,28671,20872,24507,683,529,24
108,25613,22870,23977,683,529,24
109,26902,21807,24090,683,529,24
110,26296,22473,24120,683,529,25
111,28013,22506,24995,683,529,25
112,28422,21173,24533,683,529,24
113,28243,22174,24944,683,529,24
114,26126,22781,24189,683,529,25
115,27408,23269,25074,683,529,25
116,26317,22490,24139,683,529,24
117,27032,21693,24098,683,529,24
118,26435,22630,24268,683,529,24
119,29113,22780,25682,683,529,25
120,25077,22062,23305,683,529,24
121,27959,22506,24968,683,529,24
122,27385,23088,24972,683,529,24
123,27830,22477,24889,683,529,25
124,25555,21984,23505,683,529,24
125,24357,23214,23521,683,529,25
126,26551,22706,24364,683,529,24
127,25054,22459,23492,683,529,24
128,28016,21575,24531,683,529,24
129,25842,22765,24039,683,529,25
130,26844,22511,24413,683,529,25
131,27782,22555,24904,683,529,24
132,28634,22161,25133,683,529,24
133,25653,23190,24157,683,529,25
134,25532,23195,24099,683,529,24
135,24658,22745,23437,683,529,24
136,26081,22290,23921,683,529,25
137,29257,21392,25060,683,529,24
138,27228,21899,24299,683,529,24
139,23425,24460,23678,683,529,25
140,35579,18910,26980,683,529,27
141,25878,23817,24583,683,529,24
142,25426,23125,24011,683,529,25
143,24584,23163,23609,683,529,24
144,32048,22183,26851,683,529,27
145,28413,21818,24851,683,529,25
146,26184,22491,24073,683,529,25
147,25512,22113,23548,683,529,24
148,26182,22385,24019,683,529,25
149,26602,22873,24473,683,529,25
150,26974,22299,24372,683,529,24
151,25753,22816,24020,683,529,25
152,25126,23161,23879,683,529,26
153,28563,22116,25075,683,529,24
154,26319,22124,23957,683,529,25
155,23832,23161,23232,683,529,25
156,25620,25677,25384,683,529,27
157,29195,21556,25111,683,529,24
158,26447,23358,24638,683,529,25
