sid,BUFF,NOT,AND,PI,PO,LP
0,30688,34362,31223,3087,2604,35
1,28914,35774,31042,3087,2604,36
2,29967,34121,30742,3087,2604,38
3,31536,33828,31380,3087,2604,34
4,28000,36304,30850,3087,2604,33
5,29401,35611,31204,3087,2604,36
6,28296,35948,30820,3087,2604,35
7,29714,35542,31326,3087,2604,33
8,30524,35440,31680,3087,2604,33
9,30077,35369,31421,3087,2604,33
10,30972,34146,31257,3087,2604,37
11,29539,35363,31149,3087,2604,33
12,30585,35203,31592,3087,2604,32
13,28909,35251,30778,3087,2604,36
14,28590,35286,30636,3087,2604,36
15,29039,35603,31019,3087,2604,36
16,28423,35371,30595,3087,2604,35
17,30963,34293,31326,3087,2604,35
18,27806,36274,30738,3087,2604,35
19,28648,35552,30798,3087,2604,36
20,30352,34852,31300,3087,2604,32
21,30928,34914,31619,3087,2604,36
22,27924,37082,31201,3087,2604,37
23,29736,34964,31048,3087,2604,36
24,28404,35274,30537,3087,2604,35
25,29902,38186,32742,3087,2604,36
26,30936,33534,30933,3087,2604,36
27,28509,35527,30716,3087,2604,34
28,30591,33999,30993,3087,2604,36
29,31800,33028,31112,3087,2604,35
30,29233,35247,30938,3087,2604,35
31,30702,33780,30939,3087,2604,36
32,29939,35147,31241,3087,2604,32
33,29161,35399,30978,3087,2604,36
34,28160,36116,30836,3087,2604,37
35,28751,35229,30688,3087,2604,36
36,31447,34529,31686,3087,2604,34
37,29953,34763,31056,3087,2604,32
38,30386,35734,31758,3087,2604,34
39,28517,35253,30583,3087,2604,37
40,28715,36047,31079,3087,2604,36
41,28718,35606,30860,3087,2604,36
42,30325,35179,31450,3087,2604,33
43,32138,33762,31648,3087,2604,35
44,29820,35058,31137,3087,2604,37
45,32304,33398,31549,3087,2604,36
46,28393,35901,30845,3087,2604,34
47,30364,35046,31403,3087,2604,33
48,30518,37732,32823,3087,2604,36
49,28830,36030,31128,3087,2604,32
50,32282,34848,32263,3087,2604,36
51,29662,34176,30617,3087,2604,36
52,29501,35711,31304,3087,2604,35
53,30165,33673,30617,3087,2604,37
54,27688,36534,30809,3087,2604,35
55,29420,35158,30987,3087,2604,33
56,28373,35429,30599,3087,2604,36
57,30297,35193,31443,3087,2604,34
58,29000,35646,31021,3087,2604,34
59,31695,33757,31424,3087,2604,34
60,29257,35253,30953,3087,2604,33
61,29675,35101,31086,3087,2604,34
62,28514,35390,30650,3087,2604,37
63,28398,35736,30765,3087,2604,35
64,28198,35496,30545,3087,2604,36
65,28180,35444,30510,3087,2604,36
66,28784,37936,32058,3087,2604,36
67,30126,35018,31270,3087,2604,35
68,28128,35826,30675,3087,2604,33
69,31330,34126,31426,3087,2604,35
70,27073,36611,30540,3087,2604,38
71,29580,35310,31143,3087,2604,38
72,28911,36237,31272,3087,2604,36
73,31568,33820,31392,3087,2604,36
74,29070,35260,30863,3087,2604,36
75,29958,33692,30523,3087,2604,37
76,27530,36570,30748,3087,2604,34
77,28737,36017,31075,3087,2604,33
78,28551,36199,31073,3087,2604,34
79,28525,36103,31012,3087,2604,33
80,29011,35565,30986,3087,2604,35
81,29425,34793,30807,3087,2604,35
82,31213,33629,31119,3087,2604,36
83,30380,34854,31315,3087,2604,35
84,30018,35346,31380,3087,2604,33
85,31207,33593,31098,3087,2604,36
86,28943,35397,30868,3087,2604,36
87,27991,35615,30501,3087,2604,34
88,28294,36164,30927,3087,2604,36
89,30598,34418,31206,3087,2604,33
90,29705,35377,31239,3087,2604,36
91,30562,33742,30850,3087,2604,36
92,28324,36344,31032,3087,2604,36
93,30549,34817,31381,3087,2604,32
94,30293,34951,31320,3087,2604,34
95,29510,35336,31121,3087,2604,34
96,28499,35633,30764,3087,2604,37
97,29700,34250,30673,3087,2604,34
98,30539,34355,31145,3087,2604,37
99,31750,33964,31555,3087,2604,33
100,29047,34951,30697,3087,2604,34
101,29426,37506,32164,3087,2604,36
102,31100,34322,31409,3087,2604,34
103,28606,36590,31296,3087,2604,35
104,30844,34384,31312,3087,2604,33
105,30787,34383,31283,3087,2604,36
106,30494,34328,31109,3087,2604,35
107,31096,34262,31377,3087,2604,33
108,27846,36318,30780,3087,2604,32
109,29901,35023,31160,3087,2604,36
110,28404,35924,30862,3087,2604,35
111,29594,35554,31272,3087,2604,35
112,30565,34431,31196,3087,2604,33
113,32028,33060,31242,3087,2604,34
114,30329,33941,30833,3087,2604,38
115,29364,36544,31652,3087,2604,36
116,28766,35562,30862,3087,2604,36
117,28756,35292,30722,3087,2604,35
118,28911,35355,30831,3087,2604,34
119,30129,35607,31566,3087,2604,32
120,27963,35733,30546,3087,2604,33
121,31777,34023,31598,3087,2604,32
122,31667,33497,31280,3087,2604,36
123,29534,35540,31235,3087,2604,36
124,28988,34874,30629,3087,2604,35
125,29936,34430,30881,3087,2604,39
126,30841,33589,30913,3087,2604,36
127,28378,35408,30591,3087,2604,37
128,29620,35184,31100,3087,2604,33
129,28937,35905,31119,3087,2604,36
130,31587,32983,30983,3087,2604,33
131,29827,35305,31264,3087,2604,33
132,30532,35004,31466,3087,2604,33
133,30431,33967,30897,3087,2604,37
134,29122,35920,31219,3087,2604,31
135,27798,35890,30542,3087,2604,37
136,28250,35706,30676,3087,2604,33
137,29906,35610,31456,3087,2604,32
138,28703,35565,30832,3087,2604,35
139,27690,36632,30859,3087,2604,36
140,34915,33879,33095,3087,2604,36
141,30505,34599,31250,3087,2604,36
142,30152,34166,30857,3087,2604,37
143,29721,34487,30802,3087,2604,35
144,30983,37525,32952,3087,2604,36
145,30248,35010,31327,3087,2604,33
146,28901,35595,30946,3087,2604,37
147,30588,33678,30831,3087,2604,34
148,30599,33963,30979,3087,2604,35
149,31495,33657,31274,3087,2604,37
150,29071,35573,31020,3087,2604,32
151,28654,35590,30820,3087,2604,34
152,29741,34001,30569,3087,2604,35
153,29602,35446,31222,3087,2604,34
154,28694,35088,30589,3087,2604,38
155,27640,36142,30589,3087,2604,37
156,28881,37371,31824,3087,2604,37
157,30313,35141,31425,3087,2604,34
158,30681,34879,31478,3087,2604,37
159,32114,33468,31489,3087,2604,34
160,31933,33191,31260,3087,2604,36
161,31656,33300,31176,3087,2604,36
162,28817,35973,31093,3087,2604,34
163,30334,35486,31608,3087,2604,32
164,30637,34863,31448,3087,2604,34
165,29627,35361,31192,3087,2604,35
166,30168,35054,31309,3087,2604,36
167,29329,35361,31043,3087,2604,34
168,30594,33936,30963,3087,2604,34
169,28704,35334,30717,3087,2604,36
170,28737,35907,31020,3087,2604,36
171,29738,35818,31476,3087,2604,35
