sid,BUFF,NOT,AND,PI,PO,LP
0,51372,35199,42383,1975,1805,43
1,52408,34331,42467,1975,1805,43
2,50607,36802,42802,1975,1805,43
3,49952,36923,42535,1975,1805,42
4,53015,35248,43229,1975,1805,43
5,51173,35810,42589,1975,1805,43
6,52430,35459,43042,1975,1805,43
7,51047,36206,42724,1975,1805,42
8,52316,35189,42850,1975,1805,43
9,50638,35641,42237,1975,1805,43
10,50496,36393,42542,1975,1805,42
11,51383,35352,42465,1975,1805,43
12,52100,35137,42716,1975,1805,43
13,50855,36030,42540,1975,1805,43
14,50384,36077,42328,1975,1805,43
15,51840,35353,42694,1975,1805,43
16,51651,35758,42802,1975,1805,43
17,50863,35176,42117,1975,1805,42
18,52198,34893,42643,1975,1805,43
19,53152,34797,43072,1975,1805,42
20,51266,34637,42049,1975,1805,43
21,53057,33888,42570,1975,1805,43
22,52095,35844,43067,1975,1805,43
23,50231,35702,42064,1975,1805,42
24,51170,34983,42174,1975,1805,43
25,54237,33258,42845,1975,1805,43
26,49200,37323,42359,1975,1805,42
27,50543,36294,42516,1975,1805,43
28,50468,36167,42415,1975,1805,43
29,50282,35947,42212,1975,1805,43
30,53887,33432,42757,1975,1805,43
31,49828,36993,42508,1975,1805,43
32,51164,35429,42394,1975,1805,43
33,51998,35395,42794,1975,1805,43
34,52228,35073,42748,1975,1805,43
35,51366,35475,42518,1975,1805,43
36,50871,35728,42397,1975,1805,43
37,50882,34725,41901,1975,1805,43
38,52050,35629,42937,1975,1805,43
39,53154,34857,43103,1975,1805,43
40,51144,35611,42475,1975,1805,42
41,51262,35311,42384,1975,1805,42
42,52077,34770,42521,1975,1805,43
43,51479,35770,42722,1975,1805,43
44,50597,36254,42523,1975,1805,42
45,50795,36138,42564,1975,1805,42
46,51674,35821,42845,1975,1805,43
47,51058,35829,42541,1975,1805,42
48,53098,34957,43125,1975,1805,43
49,50596,35927,42359,1975,1805,43
50,53095,34764,43027,1975,1805,43
51,49051,36798,42022,1975,1805,43
52,51325,36186,42853,1975,1805,43
53,49715,37100,42505,1975,1805,43
54,51769,35488,42726,1975,1805,43
55,51969,35354,42759,1975,1805,43
56,49879,35852,41963,1975,1805,43
57,52830,34061,42543,1975,1805,43
58,53176,34931,43151,1975,1805,43
59,49911,36390,42248,1975,1805,42
60,51729,34954,42439,1975,1805,43
61,50642,35595,42216,1975,1805,43
62,51063,35628,42443,1975,1805,42
63,51674,36741,43305,1975,1805,42
64,51281,35996,42736,1975,1805,43
65,51504,35537,42618,1975,1805,42
66,53062,35111,43184,1975,1805,43
67,51430,35289,42457,1975,1805,42
68,50752,35723,42335,1975,1805,42
69,49413,37580,42594,1975,1805,42
70,52069,36826,43545,1975,1805,43
71,51065,34862,42061,1975,1805,43
72,51895,35512,42801,1975,1805,42
73,50752,36361,42654,1975,1805,43
74,51849,35332,42688,1975,1805,43
75,49254,37901,42675,1975,1805,42
76,50846,36433,42737,1975,1805,43
77,52467,34942,42802,1975,1805,43
78,50854,36037,42543,1975,1805,42
79,50013,36176,42192,1975,1805,43
80,50506,35299,42000,1975,1805,43
81,51167,36052,42707,1975,1805,43
82,50736,36359,42645,1975,1805,43
83,51537,35076,42404,1975,1805,43
84,51803,35028,42513,1975,1805,43
85,49062,36559,41908,1975,1805,42
86,50462,35393,42025,1975,1805,42
87,51032,36315,42771,1975,1805,42
88,51221,36286,42851,1975,1805,42
89,51343,34938,42238,1975,1805,43
90,50119,36506,42410,1975,1805,42
91,51440,35351,42493,1975,1805,43
92,52102,35019,42658,1975,1805,43
93,50960,35265,42210,1975,1805,42
94,51039,35356,42295,1975,1805,42
95,51133,35898,42613,1975,1805,42
96,51214,36081,42745,1975,1805,42
97,50067,37710,42986,1975,1805,42
98,51473,36306,42987,1975,1805,43
99,50829,35888,42456,1975,1805,43
100,51166,37013,43187,1975,1805,42
101,52946,35175,43158,1975,1805,43
102,49316,37637,42574,1975,1805,42
103,52383,35364,42971,1975,1805,43
104,51890,34827,42456,1975,1805,43
105,51141,35062,42199,1975,1805,42
106,50147,36358,42350,1975,1805,42
107,51804,34261,42130,1975,1805,43
108,52666,34883,42872,1975,1805,43
109,50925,35264,42192,1975,1805,43
110,51802,36625,43311,1975,1805,43
111,50942,35659,42398,1975,1805,43
112,51028,35129,42176,1975,1805,42
113,50243,35764,42101,1975,1805,43
114,50613,37898,43353,1975,1805,43
115,52300,35445,42970,1975,1805,43
116,50633,35838,42333,1975,1805,43
117,51228,35189,42306,1975,1805,43
118,51160,35575,42465,1975,1805,43
119,51576,36307,43039,1975,1805,43
120,50882,35669,42373,1975,1805,43
121,50380,37385,42980,1975,1805,42
122,50387,36062,42322,1975,1805,43
123,52197,35872,43132,1975,1805,42
124,50608,34937,41870,1975,1805,43
125,50713,37280,43094,1975,1805,43
126,51366,35765,42663,1975,1805,43
127,50038,36443,42338,1975,1805,43
128,51381,35958,42767,1975,1805,43
129,50660,35937,42396,1975,1805,42
130,49919,36208,42161,1975,1805,43
131,51703,35018,42458,1975,1805,43
132,53055,34450,42850,1975,1805,43
133,51173,36706,43037,1975,1805,43
134,50740,36205,42570,1975,1805,43
135,50721,35980,42448,1975,1805,43
136,51094,35571,42430,1975,1805,43
137,50516,35183,41947,1975,1805,42
138,50830,35659,42342,1975,1805,43
139,52021,35206,42711,1975,1805,43
140,54529,32798,42761,1975,1805,43
141,49878,37565,42819,1975,1805,42
142,49890,37633,42859,1975,1805,42
143,50974,35669,42419,1975,1805,43
144,52620,34661,42738,1975,1805,43
145,50335,35282,41906,1975,1805,43
146,51354,37109,43329,1975,1805,43
147,49760,36645,42300,1975,1805,43
148,49603,37334,42566,1975,1805,42
149,49453,36882,42265,1975,1805,42
150,51027,35720,42471,1975,1805,43
151,51954,36487,43318,1975,1805,43
152,51661,36062,42959,1975,1805,42
153,51740,34295,42115,1975,1805,43
154,51200,35821,42608,1975,1805,43
