sid,BUFF,NOT,AND,PI,PO,LP
0,64575,101240,78701,11592,8413,80
1,61696,104675,78979,11592,8413,78
2,56940,108363,78445,11592,8413,81
3,55527,109716,78415,11592,8413,78
4,62829,103080,78748,11592,8413,82
5,61988,103205,78390,11592,8413,80
6,63017,103074,78839,11592,8413,78
7,65079,100022,78344,11592,8413,78
8,62128,103683,78699,11592,8413,80
9,62352,103123,78531,11592,8413,81
10,57980,107195,78381,11592,8413,80
11,61535,103574,78348,11592,8413,79
12,62016,103633,78618,11592,8413,80
13,58017,107154,78379,11592,8413,82
14,58541,106402,78265,11592,8413,75
15,58496,107741,78912,11592,8413,78
16,63813,101508,78454,11592,8413,78
17,59763,105750,78550,11592,8413,78
18,57133,108546,78633,11592,8413,78
19,60338,105471,78698,11592,8413,81
20,59043,106854,78742,11592,8413,76
21,57507,108512,78803,11592,8413,78
22,60089,106060,78868,11592,8413,78
23,64647,100322,78278,11592,8413,82
24,65034,100767,78694,11592,8413,80
25,60598,105387,78786,11592,8413,81
26,56501,108902,78495,11592,8413,79
27,64338,100813,78369,11592,8413,79
28,57164,108007,78379,11592,8413,79
29,58159,107204,78475,11592,8413,77
30,60775,105484,78923,11592,8413,82
31,56300,109189,78538,11592,8413,78
32,65673,99628,78444,11592,8413,77
33,58100,107963,78825,11592,8413,77
34,58905,107008,78750,11592,8413,80
35,61660,103769,78508,11592,8413,79
36,54023,111876,78743,11592,8413,79
37,59819,105808,78607,11592,8413,80
38,60876,104883,78673,11592,8413,79
39,60422,104967,78488,11592,8413,80
40,60756,104973,78658,11592,8413,76
41,64255,101590,78716,11592,8413,80
42,57942,107713,78621,11592,8413,80
43,53392,112291,78635,11592,8413,80
44,60070,104955,78306,11592,8413,81
45,57399,108374,78680,11592,8413,76
46,60773,105140,78750,11592,8413,79
47,64351,101494,78716,11592,8413,78
48,55634,110827,79024,11592,8413,81
49,60144,104977,78354,11592,8413,80
50,53640,112783,79005,11592,8413,78
51,58091,107116,78397,11592,8413,77
52,61035,104188,78405,11592,8413,78
53,56849,108482,78459,11592,8413,81
54,61049,104884,78760,11592,8413,79
55,62524,103075,78593,11592,8413,79
56,63098,102709,78697,11592,8413,78
57,60449,105238,78637,11592,8413,78
58,58955,107376,78959,11592,8413,78
59,57646,107717,78475,11592,8413,78
60,58115,107934,78818,11592,8413,80
61,61521,103748,78428,11592,8413,76
62,56277,109340,78602,11592,8413,79
63,60768,104585,78470,11592,8413,80
64,62707,102534,78414,11592,8413,83
65,58388,107163,78569,11592,8413,79
66,54343,111836,78883,11592,8413,79
67,64533,101186,78653,11592,8413,78
68,64836,100693,78558,11592,8413,81
69,59604,105525,78358,11592,8413,75
70,59792,105927,78653,11592,8413,81
71,61448,104057,78546,11592,8413,80
72,61179,104970,78868,11592,8413,72
73,54567,110712,78433,11592,8413,77
74,65186,100815,78794,11592,8413,78
75,57915,106800,78151,11592,8413,81
76,60371,105074,78516,11592,8413,78
77,63462,102707,78878,11592,8413,80
78,63192,102095,78437,11592,8413,77
79,65016,99891,78247,11592,8413,80
80,63473,101636,78348,11592,8413,79
81,53359,112348,78647,11592,8413,78
82,59270,106775,78816,11592,8413,78
83,66084,99357,78514,11592,8413,79
84,65928,99621,78568,11592,8413,79
85,58038,107107,78366,11592,8413,79
86,61994,102879,78230,11592,8413,81
87,59932,105433,78476,11592,8413,80
88,62248,103139,78487,11592,8413,83
89,62274,103181,78521,11592,8413,81
90,64381,100694,78331,11592,8413,79
91,54053,111646,78643,11592,8413,77
92,58568,107545,78850,11592,8413,79
93,59869,105742,78599,11592,8413,75
94,59805,105854,78623,11592,8413,82
95,62894,102495,78488,11592,8413,78
96,66493,98798,78439,11592,8413,77
97,56612,108761,78480,11592,8413,79
98,54083,112070,78870,11592,8413,82
99,57448,108157,78596,11592,8413,80
100,58713,106496,78398,11592,8413,81
101,54303,112012,78951,11592,8413,82
102,56883,108372,78421,11592,8413,78
103,57561,108258,78703,11592,8413,78
104,64993,101122,78851,11592,8413,80
105,64750,101221,78779,11592,8413,80
106,57098,108827,78756,11592,8413,76
107,62529,103518,78817,11592,8413,79
108,63029,102818,78717,11592,8413,81
109,66066,99037,78345,11592,8413,78
110,61066,104483,78568,11592,8413,80
111,59650,105787,78512,11592,8413,78
112,60028,105861,78738,11592,8413,77
113,58955,106916,78729,11592,8413,79
114,55292,110019,78449,11592,8413,80
115,59474,106463,78762,11592,8413,79
116,61687,103794,78534,11592,8413,78
117,62373,103020,78490,11592,8413,76
118,61457,104248,78646,11592,8413,77
119,63462,102209,78629,11592,8413,76
120,60859,104346,78396,11592,8413,78
121,55499,109922,78504,11592,8413,78
122,55658,109999,78622,11592,8413,77
123,60344,105205,78568,11592,8413,80
124,64142,101157,78443,11592,8413,78
125,56604,108465,78328,11592,8413,79
126,54062,111821,78735,11592,8413,79
127,64679,100310,78288,11592,8413,80
128,56901,108444,78466,11592,8413,79
129,58566,106195,78174,11592,8413,78
130,56000,109397,78492,11592,8413,78
131,58577,106916,78540,11592,8413,75
132,58585,107398,78785,11592,8413,81
133,58210,107591,78694,11592,8413,75
134,61969,103466,78511,11592,8413,78
135,62257,102932,78388,11592,8413,79
136,64927,100598,78556,11592,8413,79
137,61072,104545,78602,11592,8413,78
138,63662,101827,78538,11592,8413,78
139,58573,106684,78422,11592,8413,80
140,60067,106846,79250,11592,8413,80
141,57183,108196,78483,11592,8413,79
142,55457,110156,78600,11592,8413,80
143,55001,111086,78837,11592,8413,79
144,53462,113145,79097,11592,8413,80
145,60614,104577,78389,11592,8413,80
146,66189,99286,78531,11592,8413,79
147,58936,105945,78234,11592,8413,80
148,56168,108955,78355,11592,8413,84
149,59142,105941,78335,11592,8413,84
150,61650,103951,78594,11592,8413,80
151,61093,104534,78607,11592,8413,81
152,55321,110054,78481,11592,8413,78
153,58513,107066,78583,11592,8413,81
154,65872,99457,78458,11592,8413,80
155,61611,103332,78265,11592,8413,84
156,61082,104765,78717,11592,8413,77
157,62862,102615,78532,11592,8413,72
158,56732,109071,78695,11592,8413,78
159,54184,111105,78438,11592,8413,75
160,57173,108472,78616,11592,8413,76
161,54142,110991,78360,11592,8413,79
