sid,BUFF,NOT,AND,PI,PO,LP
0,5174,4058,4584,303,64,29
1,5304,3964,4602,303,64,29
2,5100,4152,4594,303,64,29
3,5110,4158,4602,303,64,29
4,5298,3966,4600,303,64,29
5,5295,3967,4599,303,64,29
6,5202,4058,4598,303,64,29
7,5187,4065,4594,303,64,29
8,5197,4057,4595,303,64,29
9,5280,3964,4590,303,64,29
10,5096,4156,4594,303,64,29
11,5282,3964,4591,303,64,29
12,5198,4062,4598,303,64,29
13,5178,4066,4590,303,64,29
14,5176,4060,4586,303,64,29
15,5298,3964,4599,303,64,29
16,5288,3964,4594,303,64,29
17,5191,4057,4592,303,64,29
18,5283,3993,4606,303,64,29
19,5210,4062,4604,303,64,29
20,5184,4060,4590,303,64,29
21,5196,4062,4597,303,64,29
22,5130,4158,4612,303,64,29
23,5186,4056,4589,303,64,29
24,5188,4062,4593,303,64,29
25,5256,3996,4594,303,64,29
26,5258,3994,4594,303,64,29
27,5252,3996,4592,303,64,29
28,5100,4156,4596,303,64,29
29,5258,3998,4596,303,64,29
30,5258,3996,4595,303,64,29
31,5262,3992,4595,303,64,29
32,5200,4060,4598,303,64,29
33,5302,3966,4602,303,64,29
34,5264,3996,4598,303,64,29
35,5288,3964,4594,303,64,29
36,5096,4158,4595,303,64,29
37,5170,4060,4583,303,64,29
38,5278,3962,4588,303,64,29
39,5206,4062,4602,303,64,29
40,5294,3966,4598,303,64,29
41,5280,3966,4591,303,64,29
42,5292,3966,4597,303,64,29
43,5264,3998,4599,303,64,29
44,5196,4060,4596,303,64,29
45,5096,4158,4595,303,64,29
46,5288,3964,4594,303,64,29
47,5180,4062,4589,303,64,29
48,5121,4155,4606,303,64,29
49,5084,4158,4589,303,64,29
50,5116,4156,4604,303,64,29
51,5094,4156,4593,303,64,29
52,5256,3994,4593,303,64,29
53,5106,4152,4597,303,64,29
54,5288,3962,4593,303,64,29
55,5192,4062,4595,303,64,29
56,5273,3959,4584,303,64,29
57,5192,4062,4595,303,64,29
58,5214,4060,4605,303,64,29
59,5098,4158,4596,303,64,29
60,5292,3962,4595,303,64,29
61,5276,3964,4588,303,64,29
62,5188,4060,4592,303,64,29
63,5310,3966,4606,303,64,29
64,5192,4054,4591,303,64,29
65,5202,4060,4599,303,64,29
66,5112,4156,4602,303,64,29
67,5196,4062,4597,303,64,29
68,5293,3961,4595,303,64,29
69,5254,3998,4594,303,64,29
70,5124,4154,4607,303,64,29
71,5280,3962,4589,303,64,29
72,5298,3962,4598,303,64,29
73,5105,4153,4597,303,64,29
74,5202,4060,4599,303,64,29
75,5252,3996,4592,303,64,29
76,5094,4156,4593,303,64,29
77,5292,3966,4597,303,64,29
78,5297,3959,4596,303,64,29
79,5286,3960,4591,303,64,29
80,5276,3966,4589,303,64,29
81,5115,4153,4602,303,64,29
82,5266,3998,4600,303,64,29
83,5189,4057,4591,303,64,29
84,5200,4060,4598,303,64,29
85,5085,4151,4586,303,64,29
86,5291,3967,4597,303,64,29
87,5192,4060,4594,303,64,29
88,5300,3964,4600,303,64,29
89,5286,3966,4594,303,64,29
90,5277,3959,4586,303,64,29
91,5260,3996,4596,303,64,29
92,5108,4156,4600,303,64,29
93,5186,4060,4591,303,64,29
94,5194,4062,4596,303,64,29
95,5183,4061,4590,303,64,29
96,5194,4060,4595,303,64,29
97,5270,3998,4602,303,64,29
98,5276,3998,4605,303,64,29
99,5104,4158,4599,303,64,29
100,5208,4062,4603,303,64,29
101,5106,4156,4599,303,64,29
102,5092,4156,4592,303,64,29
103,5274,3996,4603,303,64,29
104,5202,4062,4600,303,64,29
105,5034,4338,4654,303,64,30
106,5100,4158,4597,303,64,29
107,5190,4060,4593,303,64,29
108,5292,3966,4597,303,64,29
109,5190,4060,4593,303,64,29
110,5310,3962,4604,303,64,29
111,5078,4158,4586,303,64,29
112,5038,4336,4655,303,64,30
113,5262,3994,4596,303,64,29
114,5110,4158,4602,303,64,29
115,5100,4158,4597,303,64,29
116,5256,3996,4594,303,64,29
117,5280,3964,4590,303,64,29
118,5183,4069,4594,303,64,29
119,5292,3966,4597,303,64,29
120,5292,3966,4597,303,64,29
121,5262,3992,4595,303,64,29
122,5266,3994,4598,303,64,29
123,5280,3994,4605,303,64,29
124,5186,4062,4592,303,64,29
125,5272,3998,4603,303,64,29
126,5260,3996,4596,303,64,29
127,5176,4058,4585,303,64,29
128,5184,4060,4590,303,64,29
129,5088,4156,4590,303,64,29
130,5242,3992,4585,303,64,29
131,5284,3966,4593,303,64,29
132,5190,4062,4594,303,64,29
133,5272,3994,4601,303,64,29
134,5272,3996,4602,303,64,29
135,5284,3960,4590,303,64,29
136,5292,3962,4595,303,64,29
137,5284,3962,4591,303,64,29
138,5280,3966,4591,303,64,29
139,5282,3998,4608,303,64,29
140,5207,4059,4601,303,64,29
141,5083,4167,4593,303,64,29
142,5100,4158,4597,303,64,29
143,5096,4158,4595,303,64,29
144,5105,4155,4598,303,64,29
145,5180,4058,4587,303,64,29
146,5216,4062,4607,303,64,29
147,5244,3996,4588,303,64,29
148,5088,4154,4589,303,64,29
149,5250,3998,4592,303,64,29
150,5274,3966,4588,303,64,29
151,5212,4062,4605,303,64,29
152,5110,4156,4601,303,64,29
153,5106,4158,4600,303,64,29
154,5182,4060,4589,303,64,29
155,5270,3998,4602,303,64,29
156,5271,3995,4601,303,64,29
157,5279,3963,4589,303,64,29
158,5114,4154,4602,303,64,29
159,5272,3998,4603,303,64,29
160,5089,4159,4592,303,64,29
161,5254,3996,4593,303,64,29
162,5286,3998,4610,303,64,29
163,5258,3996,4595,303,64,29
164,5198,4056,4595,303,64,29
165,5185,4061,4591,303,64,29
166,5206,4062,4602,303,64,29
167,5282,3954,4586,303,64,29
168,5254,3996,4593,303,64,29
169,5186,4060,4591,303,64,29
170,5290,3964,4595,303,64,29
171,5092,4158,4593,303,64,29
172,5265,3995,4598,303,64,29
173,5092,4158,4593,303,64,29
174,5294,3966,4598,303,64,29
175,5210,4058,4602,303,64,29
176,5286,3960,4591,303,64,29
177,5086,4158,4590,303,64,29
178,5277,3993,4603,303,64,29
179,5252,3994,4591,303,64,29
180,5188,4062,4593,303,64,29
181,5262,3998,4598,303,64,29
182,5192,4062,4595,303,64,29
183,5080,4164,4590,303,64,29
184,5177,4055,4584,303,64,29
185,5077,4149,4581,303,64,29
186,5284,3998,4609,303,64,29
187,5260,3998,4597,303,64,29
188,5248,3994,4589,303,64,29
189,5096,4158,4595,303,64,29
190,5088,4158,4591,303,64,29
191,5264,3964,4582,303,64,29
192,5194,4056,4593,303,64,29
193,5197,4055,4594,303,64,29
194,5252,3998,4593,303,64,29
195,5174,4060,4585,303,64,29
196,5258,3998,4596,303,64,29
197,5078,4156,4585,303,64,29
198,5270,3966,4586,303,64,29
199,5090,4152,4589,303,64,29
200,5100,4156,4596,303,64,29
201,5098,4156,4595,303,64,29
202,5184,4062,4591,303,64,29
203,5251,3995,4591,303,64,29
204,5095,4155,4593,303,64,29
205,5103,4151,4595,303,64,29
206,5252,3998,4593,303,64,29
207,5096,4158,4595,303,64,29
208,5104,4156,4598,303,64,29
209,5198,4062,4598,303,64,29
210,5273,3995,4602,303,64,29
211,5248,3996,4590,303,64,29
212,5262,3996,4597,303,64,29
213,5097,4157,4595,303,64,29
214,5276,3970,4591,303,64,29
215,5206,4062,4602,303,64,29
216,5294,3964,4597,303,64,29
217,5262,3998,4598,303,64,29
218,5186,4060,4591,303,64,29
219,5096,4152,4592,303,64,29
220,5230,3992,4579,303,64,29
221,5282,3962,4590,303,64,29
222,5290,3966,4596,303,64,29
223,5272,3998,4603,303,64,29
224,5253,4005,4597,303,64,29
225,5284,3966,4593,303,64,29
226,5112,4158,4603,303,64,29
227,5294,3960,4595,303,64,29
228,5198,4062,4598,303,64,29
229,5094,4156,4593,303,64,29
230,5292,3962,4595,303,64,29
231,5096,4154,4593,303,64,29
232,5186,4062,4592,303,64,29
233,5089,4165,4595,303,64,29
234,5249,4007,4596,303,64,29
235,5122,4154,4606,303,64,29
236,5310,3962,4604,303,64,29
237,5254,3998,4594,303,64,29
238,5274,3998,4604,303,64,29
239,5288,3962,4593,303,64,29
240,5206,4058,4600,303,64,29
241,5092,4152,4590,303,64,29
242,5188,4062,4593,303,64,29
243,5188,4060,4592,303,64,29
244,5281,3973,4595,303,64,29
245,5186,4060,4591,303,64,29
246,5119,4155,4605,303,64,29
247,5318,3966,4610,303,64,29
248,5194,4060,4595,303,64,29
249,5276,3996,4604,303,64,29
250,5274,3966,4588,303,64,29
251,5098,4154,4594,303,64,29
252,5292,3960,4594,303,64,29
253,5252,3994,4591,303,64,29
254,5292,3960,4594,303,64,29
255,5212,4058,4603,303,64,29
256,5266,3994,4598,303,64,29
257,5290,3962,4594,303,64,29
258,5118,4154,4604,303,64,29
259,5286,3966,4594,303,64,29
260,5252,3998,4593,303,64,29
261,5186,4062,4592,303,64,29
262,5190,4060,4593,303,64,29
263,5245,4005,4593,303,64,29
264,5092,4156,4592,303,64,29
265,5270,3996,4601,303,64,29
266,5288,3962,4593,303,64,29
267,5202,4062,4600,303,64,29
268,5112,4156,4602,303,64,29
269,5296,3966,4599,303,64,29
270,5101,4157,4597,303,64,29
271,5282,3966,4592,303,64,29
272,5198,4056,4595,303,64,29
273,5198,4062,4598,303,64,29
274,5192,4060,4594,303,64,29
275,5190,4060,4593,303,64,29
276,5194,4056,4593,303,64,29
277,5098,4158,4596,303,64,29
278,5108,4152,4598,303,64,29
279,5096,4158,4595,303,64,29
280,5278,3966,4590,303,64,29
281,5290,3962,4594,303,64,29
282,5092,4158,4593,303,64,29
283,5295,3967,4599,303,64,29
284,5272,3964,4586,303,64,29
285,5254,3998,4594,303,64,29
286,5186,4060,4591,303,64,29
287,5202,4062,4600,303,64,29
288,5249,4005,4595,303,64,29
289,5090,4156,4591,303,64,29
290,5176,4060,4586,303,64,29
291,5186,4060,4591,303,64,29
292,5177,4069,4591,303,64,29
293,5288,3966,4595,303,64,29
294,5276,3998,4605,303,64,29
295,5260,3992,4594,303,64,29
296,5102,4152,4595,303,64,29
297,5188,4062,4593,303,64,29
298,5276,3966,4589,303,64,29
299,5112,4158,4603,303,64,29
300,5284,3966,4593,303,64,29
301,5278,3962,4588,303,64,29
302,5178,4060,4587,303,64,29
303,5186,4062,4592,303,64,29
304,5300,3962,4599,303,64,29
305,5104,4154,4597,303,64,29
306,5198,4058,4596,303,64,29
307,5208,4062,4603,303,64,29
308,5252,3996,4592,303,64,29
309,5079,4167,4591,303,64,29
310,5255,3997,4594,303,64,29
311,5275,3995,4603,303,64,29
312,5250,3996,4591,303,64,29
313,5185,4061,4591,303,64,29
314,5088,4156,4590,303,64,29
315,5206,4060,4601,303,64,29
316,5097,4151,4592,303,64,29
317,5102,4158,4598,303,64,29
318,5102,4158,4598,303,64,29
319,5096,4158,4595,303,64,29
320,5096,4156,4594,303,64,29
321,5172,4060,4584,303,64,29
322,5200,4062,4599,303,64,29
323,5096,4152,4592,303,64,29
324,5254,3998,4594,303,64,29
325,5248,3998,4591,303,64,29
326,5258,3998,4596,303,64,29
327,5122,4156,4607,303,64,29
328,5292,3964,4596,303,64,29
329,5274,3994,4602,303,64,29
330,5105,4155,4598,303,64,29
331,5258,3998,4596,303,64,29
332,5098,4156,4595,303,64,29
333,5102,4154,4596,303,64,29
334,5177,4057,4585,303,64,29
335,5286,3966,4594,303,64,29
336,5181,4059,4588,303,64,29
337,5105,4155,4598,303,64,29
338,5267,3995,4599,303,64,29
339,5200,4056,4596,303,64,29
340,5114,4156,4603,303,64,29
341,5290,3966,4596,303,64,29
342,5114,4154,4602,303,64,29
343,5284,3960,4590,303,64,29
344,5262,3996,4597,303,64,29
345,5308,3962,4603,303,64,29
346,5266,3994,4598,303,64,29
347,5194,4062,4596,303,64,29
348,5124,4154,4607,303,64,29
349,5192,4062,4595,303,64,29
350,5188,4060,4592,303,64,29
351,5268,3996,4600,303,64,29
352,5190,4062,4594,303,64,29
353,5091,4151,4589,303,64,29
354,5071,4163,4585,303,64,29
355,5264,3992,4596,303,64,29
356,5276,3994,4603,303,64,29
357,5290,3964,4595,303,64,29
358,5278,3964,4589,303,64,29
359,5092,4156,4592,303,64,29
360,5292,3962,4595,303,64,29
361,5106,4158,4600,303,64,29
362,5280,3966,4591,303,64,29
363,5102,4154,4596,303,64,29
364,5202,4062,4600,303,64,29
365,5232,3996,4582,303,64,29
366,5084,4156,4588,303,64,29
367,5232,3996,4582,303,64,29
368,5282,3964,4591,303,64,29
369,5284,3964,4592,303,64,29
370,5282,3966,4592,303,64,29
371,5174,4058,4584,303,64,29
372,5257,3997,4595,303,64,29
373,5284,3964,4592,303,64,29
374,5304,3966,4603,303,64,29
375,5278,3996,4605,303,64,29
376,5182,4060,4589,303,64,29
377,5185,4061,4591,303,64,29
378,5098,4158,4596,303,64,29
379,5182,4062,4590,303,64,29
380,5178,4060,4587,303,64,29
381,5262,3996,4597,303,64,29
382,5083,4151,4585,303,64,29
383,5290,3966,4596,303,64,29
384,5288,3962,4593,303,64,29
385,5208,4062,4603,303,64,29
386,5270,3998,4602,303,64,29
387,5240,3992,4584,303,64,29
388,5298,3962,4598,303,64,29
389,5192,4060,4594,303,64,29
390,5092,4156,4592,303,64,29
391,5112,4158,4603,303,64,29
392,5284,3966,4593,303,64,29
393,5275,3963,4587,303,64,29
394,5094,4152,4591,303,64,29
395,5090,4158,4592,303,64,29
396,5182,4062,4590,303,64,29
397,5086,4162,4592,303,64,29
398,5190,4060,4593,303,64,29
399,5292,3964,4596,303,64,29
400,5260,3998,4597,303,64,29
401,5272,3998,4603,303,64,29
402,5106,4156,4599,303,64,29
403,5194,4062,4596,303,64,29
404,5110,4156,4601,303,64,29
405,5262,3992,4595,303,64,29
406,5271,3967,4587,303,64,29
