sid,BUFF,NOT,AND,PI,PO,LP
0,196270,317787,238320,37597,37417,43
1,224859,289956,238699,37597,37417,43
2,190370,322025,237489,37597,37417,43
3,162364,350995,237971,37597,37417,43
4,225258,288443,238142,37597,37417,43
5,193394,320365,238171,37597,37417,43
6,226340,288069,238496,37597,37417,43
7,196486,317505,238287,37597,37417,43
8,225737,287390,237855,37597,37417,43
9,193612,320003,238099,37597,37417,43
10,162272,350887,237871,37597,37417,43
11,193738,320493,238407,37597,37417,43
12,225675,287570,237914,37597,37417,43
13,196379,317488,238225,37597,37417,43
14,195353,319640,238788,37597,37417,43
15,224322,289969,238437,37597,37417,43
16,223491,289218,237646,37597,37417,43
17,196128,317819,238265,37597,37417,43
18,196515,318194,238646,37597,37417,43
19,225058,288463,238052,37597,37417,43
20,196318,318475,238688,37597,37417,42
21,196016,317021,237810,37597,37417,43
22,222885,291474,238471,37597,37417,42
23,194306,319327,238108,37597,37417,43
24,225646,287525,237877,37597,37417,43
25,226328,287501,238206,37597,37417,43
26,192877,321034,238247,37597,37417,42
27,197866,316079,238264,37597,37417,43
28,162593,351844,238510,37597,37417,42
29,164428,349295,238153,37597,37417,43
30,226337,287502,238211,37597,37417,43
31,163915,348922,237710,37597,37417,43
32,195691,318530,238402,37597,37417,43
33,224287,289880,238375,37597,37417,42
34,224740,289237,238280,37597,37417,43
35,194306,318721,237805,37597,37417,43
36,162753,351318,238327,37597,37417,43
37,196686,318341,238805,37597,37417,43
38,193881,319908,238186,37597,37417,43
39,225044,288317,237972,37597,37417,43
40,225329,288814,238363,37597,37417,43
41,223777,289248,237804,37597,37417,43
42,224610,288153,237673,37597,37417,43
43,194845,318832,238130,37597,37417,43
44,194365,319490,238219,37597,37417,43
45,162784,351617,238492,37597,37417,43
46,223267,290876,238363,37597,37417,43
47,224899,288670,238076,37597,37417,43
48,193092,321081,238378,37597,37417,43
49,196028,318203,238407,37597,37417,43
50,192883,320766,238116,37597,37417,43
51,162468,351617,238334,37597,37417,42
52,225911,286978,237736,37597,37417,43
53,190626,322309,237759,37597,37417,43
54,223921,289472,237988,37597,37417,43
55,225781,287554,237959,37597,37417,43
56,222174,291761,238259,37597,37417,43
57,224914,288493,237995,37597,37417,43
58,225592,288915,238545,37597,37417,43
59,162383,351284,238125,37597,37417,43
60,224736,288825,238072,37597,37417,43
61,193733,320144,238230,37597,37417,43
62,224062,289835,238240,37597,37417,43
63,193997,320442,238511,37597,37417,43
64,197444,316473,238250,37597,37417,43
65,222682,290239,237752,37597,37417,43
66,193078,321223,238442,37597,37417,43
67,196340,317645,238284,37597,37417,43
68,222760,290065,237704,37597,37417,43
69,164481,349208,238136,37597,37417,43
70,224020,288931,237767,37597,37417,43
71,223874,289495,237976,37597,37417,43
72,224105,289874,238281,37597,37417,43
73,162943,351940,238733,37597,37417,42
74,224109,289676,238184,37597,37417,43
75,166211,347070,237932,37597,37417,42
76,224234,289451,238134,37597,37417,43
77,224085,289360,238014,37597,37417,43
78,193238,319493,237657,37597,37417,43
79,195548,318139,238135,37597,37417,43
80,193733,319992,238154,37597,37417,43
81,163243,351548,238687,37597,37417,43
82,192691,320766,238020,37597,37417,43
83,194270,319015,237934,37597,37417,43
84,196093,318490,238583,37597,37417,43
85,164237,349098,237959,37597,37417,43
86,194731,319210,238262,37597,37417,42
87,196088,318503,238587,37597,37417,43
88,193646,320057,238143,37597,37417,43
89,223824,289417,237912,37597,37417,43
90,223458,288845,237443,37597,37417,42
91,192730,320489,237901,37597,37417,43
92,223040,291583,238603,37597,37417,43
93,196685,318356,238812,37597,37417,42
94,195984,317469,238018,37597,37417,43
95,195380,317673,237818,37597,37417,43
96,194673,319672,238464,37597,37417,42
97,165902,346789,237637,37597,37417,43
98,193411,320946,238470,37597,37417,43
99,162627,351386,238298,37597,37417,43
100,194481,318794,237929,37597,37417,43
101,192954,321175,238356,37597,37417,43
102,162629,351468,238340,37597,37417,42
103,196373,317834,238395,37597,37417,43
104,225715,287860,238079,37597,37417,43
105,196812,318119,238757,37597,37417,43
106,192966,320745,238147,37597,37417,43
107,196760,318213,238778,37597,37417,43
108,224092,289343,238009,37597,37417,43
109,194944,319713,238620,37597,37417,42
110,221689,291124,237698,37597,37417,43
111,193466,319505,237777,37597,37417,43
112,197027,318184,238897,37597,37417,43
113,194666,318865,238057,37597,37417,43
114,192697,320800,238040,37597,37417,43
115,222344,290849,237888,37597,37417,43
116,224305,289290,238089,37597,37417,43
117,223834,289281,237849,37597,37417,43
118,223053,290900,238268,37597,37417,43
119,222042,291363,237994,37597,37417,43
120,196642,317573,238399,37597,37417,43
121,166359,347370,238156,37597,37417,43
122,193000,320625,238104,37597,37417,43
123,195605,317246,237717,37597,37417,43
124,225638,287229,237725,37597,37417,43
125,166544,347581,238354,37597,37417,43
126,192988,320649,238110,37597,37417,43
127,196464,317027,238037,37597,37417,43
128,194275,318700,237779,37597,37417,43
129,193736,319491,237905,37597,37417,43
130,194485,318478,237773,37597,37417,43
131,223624,289357,237782,37597,37417,43
132,226090,287477,238075,37597,37417,43
133,194852,318849,238142,37597,37417,43
134,198088,316277,238474,37597,37417,42
135,194746,318843,238086,37597,37417,43
136,223880,289511,237987,37597,37417,43
137,193842,320279,238352,37597,37417,42
138,224044,289661,238144,37597,37417,43
139,196286,317737,238303,37597,37417,43
140,198466,315481,238265,37597,37417,43
141,192836,321075,238247,37597,37417,43
142,192723,320730,238018,37597,37417,43
143,193227,320854,238332,37597,37417,43
144,192841,321404,238414,37597,37417,43
145,194385,319304,238136,37597,37417,43
146,222861,290526,237985,37597,37417,43
147,166137,347082,237901,37597,37417,43
148,164348,349281,238106,37597,37417,43
149,166257,347566,238203,37597,37417,43
150,223448,289273,237652,37597,37417,43
151,222756,290471,237905,37597,37417,43
152,190732,322091,237703,37597,37417,43
153,224403,289096,238041,37597,37417,43
154,222483,290158,237612,37597,37417,43
155,197997,316450,238515,37597,37417,43
156,226353,287272,238104,37597,37417,43
157,193706,320041,238165,37597,37417,42
158,191102,322891,238288,37597,37417,43
159,166202,347153,237969,37597,37417,43
160,162574,351635,238396,37597,37417,42
161,166015,346686,237642,37597,37417,43
162,224784,289429,238398,37597,37417,43
163,196409,318716,238854,37597,37417,42
164,196240,317779,238301,37597,37417,43
165,196077,316580,237620,37597,37417,43
166,225772,287317,237836,37597,37417,43
167,193698,320429,238355,37597,37417,43
168,192842,321071,238248,37597,37417,43
169,222862,290477,237961,37597,37417,43
170,222207,291688,238239,37597,37417,43
171,224474,289255,238156,37597,37417,43
172,226449,287664,238348,37597,37417,43
173,193977,319812,238186,37597,37417,42
174,224628,289699,238455,37597,37417,43
175,222912,290711,238103,37597,37417,43
176,221787,291082,237726,37597,37417,43
177,224240,289107,237965,37597,37417,43
178,196747,318556,238943,37597,37417,43
179,192738,320671,237996,37597,37417,43
180,222798,290409,237895,37597,37417,43
181,226322,286847,237876,37597,37417,43
182,196174,317525,238141,37597,37417,42
183,195999,318336,238459,37597,37417,42
184,222878,290667,238064,37597,37417,43
185,162636,351767,238493,37597,37417,42
186,193242,321043,238434,37597,37417,43
187,195743,317810,238068,37597,37417,43
188,166310,347647,238270,37597,37417,43
189,193149,320868,238300,37597,37417,43
190,223900,289099,237791,37597,37417,43
191,193368,319923,237937,37597,37417,43
192,195494,317959,238018,37597,37417,43
193,194371,318794,237874,37597,37417,43
194,195587,317386,237778,37597,37417,43
195,226077,287532,238096,37597,37417,43
196,192678,320801,238031,37597,37417,43
197,163777,349282,237821,37597,37417,43
198,193357,319536,237738,37597,37417,43
199,162599,351558,238370,37597,37417,43
200,163003,351400,238493,37597,37417,43
201,164300,349479,238181,37597,37417,42
202,195964,316585,237566,37597,37417,43
203,196067,317798,238224,37597,37417,43
204,192708,320965,238128,37597,37417,43
205,193957,320106,238323,37597,37417,43
206,196110,318185,238439,37597,37417,43
207,164265,349140,237994,37597,37417,43
208,193130,321345,238529,37597,37417,43
209,226041,287422,238023,37597,37417,43
210,226234,287117,237967,37597,37417,43
211,226158,287293,238017,37597,37417,43
212,196252,318161,238498,37597,37417,43
213,190745,322704,238016,37597,37417,43
214,194564,319677,238412,37597,37417,43
215,225199,288488,238135,37597,37417,43
216,193889,320326,238399,37597,37417,43
217,196437,318080,238550,37597,37417,43
218,194907,319920,238705,37597,37417,42
219,193884,319743,238105,37597,37417,43
220,195646,317757,237993,37597,37417,43
221,223875,289574,238016,37597,37417,43
222,224873,288044,237750,37597,37417,43
223,225809,287114,237753,37597,37417,43
224,166573,347634,238395,37597,37417,43
225,225100,288189,237936,37597,37417,43
226,222546,291717,238423,37597,37417,43
227,224065,289998,238323,37597,37417,43
228,222597,290164,237672,37597,37417,43
229,162693,351456,238366,37597,37417,43
230,225046,288675,238152,37597,37417,43
231,190743,322508,237917,37597,37417,43
232,224722,288815,238060,37597,37417,43
233,164515,349736,238417,37597,37417,43
234,197987,316240,238405,37597,37417,43
235,162633,351322,238269,37597,37417,43
236,223867,289386,237918,37597,37417,43
237,192730,320541,237927,37597,37417,43
238,194570,318899,238026,37597,37417,43
