sid,BUFF,NOT,AND,PI,PO,LP
0,13674,23551,17325,2708,2575,30
1,16668,20465,17279,2708,2575,31
2,11757,25204,17193,2708,2575,31
3,11771,25264,17230,2708,2575,31
4,16735,20298,17229,2708,2575,30
5,15934,21089,17224,2708,2575,30
6,14468,22551,17222,2708,2575,31
7,14360,22805,17295,2708,2575,30
8,14498,22663,17293,2708,2575,32
9,15855,21134,17207,2708,2575,30
10,11819,25270,17257,2708,2575,29
11,15907,21262,17297,2708,2575,30
12,14460,22549,17217,2708,2575,30
13,14391,22698,17257,2708,2575,31
14,13607,23358,17195,2708,2575,31
15,16616,20457,17249,2708,2575,31
16,16530,20441,17198,2708,2575,30
17,13546,23479,17225,2708,2575,30
18,13625,23408,17229,2708,2575,31
19,14358,22691,17237,2708,2575,31
20,13609,23468,17251,2708,2575,30
21,13554,23497,17238,2708,2575,30
22,13818,23287,17265,2708,2575,32
23,13681,23406,17256,2708,2575,30
24,14460,22537,17211,2708,2575,31
25,14419,22782,17313,2708,2575,30
26,12215,24838,17239,2708,2575,31
27,14391,22706,17261,2708,2575,30
28,11810,25273,17254,2708,2575,30
29,11600,25557,17291,2708,2575,30
30,14363,22730,17259,2708,2575,31
31,11544,25491,17230,2708,2575,30
32,13804,23251,17240,2708,2575,29
33,16604,20433,17231,2708,2575,31
34,13578,23469,17236,2708,2575,31
35,16017,20968,17205,2708,2575,30
36,11783,25280,17244,2708,2575,30
37,13570,23547,17271,2708,2575,30
38,15917,21232,17287,2708,2575,32
39,14339,22650,17207,2708,2575,30
40,16742,20333,17250,2708,2575,30
41,16569,20474,17234,2708,2575,31
42,16679,20310,17207,2708,2575,30
43,12259,24794,17239,2708,2575,30
44,13651,23362,17219,2708,2575,31
45,11815,25222,17231,2708,2575,30
46,15999,21018,17221,2708,2575,32
47,14366,22741,17266,2708,2575,31
48,12505,24624,17277,2708,2575,31
49,14495,22530,17225,2708,2575,30
50,13258,23965,17324,2708,2575,30
51,11807,25322,17277,2708,2575,31
52,14309,22694,17214,2708,2575,30
53,11772,25225,17211,2708,2575,30
54,16612,20453,17245,2708,2575,31
55,14463,22572,17230,2708,2575,29
56,15901,21146,17236,2708,2575,31
57,14373,22728,17263,2708,2575,30
58,14394,22725,17272,2708,2575,33
59,12407,24588,17210,2708,2575,30
60,16721,20344,17245,2708,2575,31
61,15939,21192,17278,2708,2575,30
62,13721,23248,17197,2708,2575,31
63,15941,21196,17281,2708,2575,32
64,14467,22528,17210,2708,2575,32
65,13649,23350,17212,2708,2575,31
66,12518,24593,17268,2708,2575,31
67,13596,23485,17253,2708,2575,31
68,16001,20976,17201,2708,2575,30
69,11590,25455,17235,2708,2575,31
70,14480,22525,17215,2708,2575,31
71,16604,20423,17226,2708,2575,30
72,16613,20424,17231,2708,2575,31
73,11833,25260,17259,2708,2575,30
74,13747,23320,17246,2708,2575,31
75,12293,24752,17235,2708,2575,31
76,14506,22477,17204,2708,2575,31
77,16593,20444,17231,2708,2575,31
78,15871,21130,17213,2708,2575,30
79,16587,20424,17218,2708,2575,30
80,15926,21141,17246,2708,2575,29
81,11782,25301,17254,2708,2575,31
82,11619,25486,17265,2708,2575,31
83,13633,23364,17211,2708,2575,30
84,13750,23307,17241,2708,2575,29
85,12498,24525,17224,2708,2575,30
86,16005,21018,17224,2708,2575,30
87,13776,23297,17249,2708,2575,31
88,15868,21163,17228,2708,2575,31
89,16562,20419,17203,2708,2575,30
90,16583,20432,17220,2708,2575,30
91,11552,25469,17223,2708,2575,29
92,13873,23222,17260,2708,2575,30
93,13567,23496,17244,2708,2575,30
94,13572,23451,17224,2708,2575,30
95,13772,23261,17229,2708,2575,31
96,13674,23353,17226,2708,2575,31
97,12257,24758,17220,2708,2575,30
98,11585,25486,17248,2708,2575,31
99,11792,25265,17241,2708,2575,30
100,13620,23383,17214,2708,2575,30
101,12560,24561,17273,2708,2575,30
102,11802,25303,17265,2708,2575,29
103,13640,23471,17268,2708,2575,31
104,14477,22636,17269,2708,2575,31
105,13717,23668,17405,2708,2575,30
106,13116,23903,17222,2708,2575,31
107,13720,23555,17350,2708,2575,30
108,16618,20441,17242,2708,2575,30
109,13659,23428,17256,2708,2575,30
110,15885,21116,17213,2708,2575,31
111,13834,23187,17223,2708,2575,30
112,13748,23737,17455,2708,2575,30
113,12374,24841,17320,2708,2575,31
114,12490,24539,17227,2708,2575,32
115,13827,23254,17253,2708,2575,31
116,13598,23407,17215,2708,2575,31
117,16538,20453,17208,2708,2575,29
118,13624,23387,17218,2708,2575,31
119,15842,21131,17199,2708,2575,31
120,16702,20293,17210,2708,2575,31
121,12292,24723,17220,2708,2575,31
122,11564,25441,17215,2708,2575,30
123,13638,23387,17225,2708,2575,30
124,14486,22493,17202,2708,2575,30
125,12258,24763,17223,2708,2575,30
126,11594,25461,17240,2708,2575,31
127,14313,22650,17194,2708,2575,31
128,13641,23400,17233,2708,2575,30
129,13801,23204,17215,2708,2575,31
130,12945,24078,17224,2708,2575,29
131,16627,20424,17238,2708,2575,30
132,14501,22520,17223,2708,2575,30
133,12235,24744,17202,2708,2575,31
134,14380,22715,17260,2708,2575,29
135,16070,21057,17276,2708,2575,30
136,16564,20429,17209,2708,2575,30
137,15919,21156,17250,2708,2575,30
138,16620,20419,17232,2708,2575,31
139,13609,23440,17237,2708,2575,30
140,14355,22796,17288,2708,2575,30
141,12480,24501,17203,2708,2575,30
142,12449,24550,17212,2708,2575,31
143,12496,24599,17260,2708,2575,31
144,13197,23930,17276,2708,2575,30
145,13641,23410,17238,2708,2575,30
146,13622,23397,17222,2708,2575,32
147,12273,24774,17236,2708,2575,31
148,12444,24551,17210,2708,2575,31
149,12252,24757,17217,2708,2575,31
150,16598,20411,17217,2708,2575,30
151,13618,23353,17198,2708,2575,31
152,11771,25232,17214,2708,2575,30
153,14501,22526,17226,2708,2575,31
154,13614,23377,17208,2708,2575,30
155,14319,22694,17219,2708,2575,32
156,14457,22774,17328,2708,2575,29
157,15884,21129,17219,2708,2575,30
158,11839,25290,17277,2708,2575,31
159,12243,24748,17208,2708,2575,30
160,12525,24654,17302,2708,2575,30
161,12298,24775,17249,2708,2575,30
162,13560,23467,17226,2708,2575,32
163,14301,22850,17288,2708,2575,30
164,13618,23421,17232,2708,2575,30
165,14327,22660,17206,2708,2575,30
166,14435,22608,17234,2708,2575,30
167,15982,21241,17324,2708,2575,30
168,11506,25495,17213,2708,2575,32
169,13598,23393,17208,2708,2575,31
170,15922,21191,17269,2708,2575,31
171,14544,22633,17301,2708,2575,31
172,14471,22808,17352,2708,2575,30
173,13758,23187,17185,2708,2575,31
174,16665,20502,17296,2708,2575,31
175,13639,23390,17227,2708,2575,31
176,15867,21158,17225,2708,2575,31
177,14527,22518,17235,2708,2575,29
178,13603,23426,17227,2708,2575,31
179,11585,25420,17215,2708,2575,30
180,13731,23490,17323,2708,2575,30
181,14362,22737,17262,2708,2575,30
182,14349,22744,17259,2708,2575,30
183,14616,22595,17318,2708,2575,30
184,13601,23420,17223,2708,2575,31
185,11876,25297,17299,2708,2575,30
186,11583,25530,17269,2708,2575,32
187,13645,23448,17259,2708,2575,30
188,12275,24744,17222,2708,2575,30
189,12487,24592,17252,2708,2575,31
190,14516,22477,17209,2708,2575,29
