sid,BUFF,NOT,AND,PI,PO,LP
0,56161,84243,64991,10731,10422,31
1,65168,75670,65208,10731,10422,31
2,54395,85815,64894,10731,10422,32
3,46407,94193,65089,10731,10422,30
4,65448,75130,65078,10731,10422,30
5,55869,84591,65019,10731,10422,31
6,65397,75293,65134,10731,10422,31
7,56845,83421,64922,10731,10422,30
8,65310,75096,64992,10731,10422,31
9,55867,84389,64917,10731,10422,32
10,46359,94005,64971,10731,10422,32
11,55764,84454,64898,10731,10422,30
12,65263,75271,65056,10731,10422,34
13,56739,83477,64897,10731,10422,30
14,55699,84541,64909,10731,10422,30
15,65072,75636,65143,10731,10422,31
16,64974,75294,64923,10731,10422,31
17,56211,84297,65043,10731,10422,29
18,56052,84602,65116,10731,10422,30
19,65053,75467,65049,10731,10422,31
20,56215,84393,65093,10731,10422,32
21,56118,84354,65025,10731,10422,32
22,64187,76535,65150,10731,10422,32
23,55755,84555,64944,10731,10422,31
24,65390,74982,64975,10731,10422,31
25,65359,75557,65247,10731,10422,34
26,54410,85908,64948,10731,10422,32
27,56887,83397,64931,10731,10422,31
28,46305,94023,64953,10731,10422,30
29,46325,94041,64972,10731,10422,30
30,65289,75529,65198,10731,10422,32
31,46330,93956,64932,10731,10422,33
32,56117,84195,64945,10731,10422,31
33,65000,75590,65084,10731,10422,30
34,64064,76390,65016,10731,10422,34
35,56068,84228,64937,10731,10422,33
36,46458,94208,65122,10731,10422,33
37,56145,84295,65009,10731,10422,30
38,55945,84545,65034,10731,10422,33
39,65058,75408,65022,10731,10422,31
40,65216,75270,65032,10731,10422,29
41,65036,75412,65013,10731,10422,32
42,65213,75377,65084,10731,10422,30
43,55458,85048,65042,10731,10422,34
44,55908,84454,64970,10731,10422,31
45,46377,94029,64992,10731,10422,32
46,64307,76021,64953,10731,10422,32
47,65030,75368,64988,10731,10422,32
48,55651,85307,65268,10731,10422,33
49,56782,83384,64872,10731,10422,31
50,55694,85248,65260,10731,10422,34
51,46328,93966,64936,10731,10422,30
52,65141,75169,64944,10731,10422,30
53,54405,85845,64914,10731,10422,33
54,64979,75513,65035,10731,10422,30
55,65242,75132,64976,10731,10422,34
56,63827,76467,64936,10731,10422,31
57,65088,75626,65146,10731,10422,32
58,65129,75653,65180,10731,10422,29
59,46260,94188,65013,10731,10422,29
60,65340,75054,64986,10731,10422,32
61,55630,84618,64913,10731,10422,32
62,64135,76195,64954,10731,10422,30
63,55791,84621,64995,10731,10422,33
64,56989,83301,64934,10731,10422,30
65,63864,76468,64955,10731,10422,31
66,55644,85126,65174,10731,10422,30
67,56279,84291,65074,10731,10422,30
68,64421,75845,64922,10731,10422,31
69,46384,93906,64934,10731,10422,32
70,64926,75322,64913,10731,10422,34
71,64973,75473,65012,10731,10422,30
72,65044,75630,65126,10731,10422,31
73,46355,94221,65077,10731,10422,31
74,64448,76068,65047,10731,10422,31
75,47291,92937,64903,10731,10422,33
76,65073,75253,64952,10731,10422,30
77,65039,75495,65056,10731,10422,31
78,55856,84438,64936,10731,10422,32
79,56779,83469,64913,10731,10422,32
80,55845,84483,64953,10731,10422,32
81,46374,94176,65064,10731,10422,33
82,54617,86053,65124,10731,10422,31
83,55857,84487,64961,10731,10422,32
84,56261,84277,65058,10731,10422,33
85,47252,92930,64880,10731,10422,32
86,56092,84236,64953,10731,10422,30
87,55977,84407,64981,10731,10422,34
88,55871,84433,64941,10731,10422,30
89,65058,75374,65005,10731,10422,32
90,65049,75219,64923,10731,10422,29
91,54561,85881,65010,10731,10422,33
92,64196,76490,65132,10731,10422,30
93,56202,84258,65019,10731,10422,32
94,56206,84150,64967,10731,10422,31
95,55941,84413,64966,10731,10422,30
96,55820,84424,64911,10731,10422,32
97,47252,93016,64923,10731,10422,34
98,54620,86030,65114,10731,10422,31
99,46381,94183,65071,10731,10422,30
100,55607,84697,64941,10731,10422,34
101,55784,85176,65269,10731,10422,32
102,46277,94087,64971,10731,10422,32
103,56081,84581,65120,10731,10422,31
104,65421,74909,64954,10731,10422,31
105,56339,84905,65411,10731,10422,32
106,55476,85044,65049,10731,10422,30
107,56258,84396,65116,10731,10422,31
108,65002,75460,65020,10731,10422,30
109,55879,84413,64935,10731,10422,30
110,64017,76345,64970,10731,10422,30
111,55859,84417,64927,10731,10422,34
112,56311,84923,65406,10731,10422,32
113,55562,84868,65004,10731,10422,30
114,55387,84867,64916,10731,10422,34
115,64140,76508,65113,10731,10422,32
116,63961,76323,64931,10731,10422,31
117,65071,75361,65005,10731,10422,30
118,64014,76342,64967,10731,10422,32
119,64019,76365,64981,10731,10422,31
120,57100,83170,64924,10731,10422,30
121,47380,92932,64945,10731,10422,31
122,54555,85959,65046,10731,10422,29
123,55888,84344,64905,10731,10422,33
124,65457,74881,64958,10731,10422,30
125,47380,92986,64972,10731,10422,33
126,54499,85959,65018,10731,10422,32
127,56728,83492,64899,10731,10422,30
128,55765,84647,64995,10731,10422,30
129,55792,84518,64944,10731,10422,30
130,55558,84802,64969,10731,10422,32
131,64901,75435,64957,10731,10422,33
132,65451,75029,65029,10731,10422,31
133,55495,84867,64970,10731,10422,32
134,57032,83512,65061,10731,10422,30
135,55937,84459,64987,10731,10422,33
136,64930,75334,64921,10731,10422,30
137,55807,84623,65004,10731,10422,32
138,64893,75373,64922,10731,10422,30
139,55977,84631,65093,10731,10422,30
140,56648,84322,65274,10731,10422,30
141,55524,84866,64984,10731,10422,29
142,55407,84831,64908,10731,10422,32
143,55592,85028,65099,10731,10422,29
144,55919,85173,65335,10731,10422,31
145,55915,84495,64994,10731,10422,30
146,64052,76358,64994,10731,10422,33
147,47261,92915,64877,10731,10422,32
148,47328,92962,64934,10731,10422,32
149,47288,92896,64881,10731,10422,31
150,65030,75494,65051,10731,10422,33
151,64018,76326,64961,10731,10422,32
152,54435,85999,65006,10731,10422,31
153,65020,75460,65029,10731,10422,30
154,64004,76200,64891,10731,10422,31
155,56803,83387,64884,10731,10422,34
156,65173,75571,65161,10731,10422,33
157,55924,84472,64987,10731,10422,31
158,54455,86111,65072,10731,10422,32
159,47444,93020,65021,10731,10422,29
160,46321,94235,65067,10731,10422,32
161,47279,92993,64925,10731,10422,32
162,64183,76489,65125,10731,10422,32
163,56078,84630,65143,10731,10422,31
164,56225,84327,65065,10731,10422,30
165,56657,83479,64857,10731,10422,33
166,65440,75028,65023,10731,10422,29
167,55732,84612,64961,10731,10422,31
168,54468,85906,64976,10731,10422,34
169,63827,76453,64929,10731,10422,33
170,64010,76404,64996,10731,10422,31
171,65136,75492,65103,10731,10422,32
172,65323,75537,65219,10731,10422,32
173,55766,84398,64871,10731,10422,31
174,65194,75506,65139,10731,10422,30
175,64083,76281,64971,10731,10422,34
176,63938,76298,64907,10731,10422,31
177,65175,75485,65119,10731,10422,31
178,56022,84682,65141,10731,10422,30
179,54497,85845,64960,10731,10422,32
180,64114,76270,64981,10731,10422,33
181,65241,75267,65043,10731,10422,30
182,56855,83337,64885,10731,10422,30
183,56840,83444,64931,10731,10422,32
184,63934,76378,64945,10731,10422,32
