sid,BUFF,NOT,AND,PI,PO,LP
0,18944,29673,24104,632,409,774
1,18944,30079,24307,632,409,784
2,18051,30174,23908,632,409,785
3,18334,30019,23972,632,409,790
4,18411,29704,23853,632,409,794
5,18840,29697,24064,632,409,787
6,18736,29759,24043,632,409,794
7,18726,29561,23939,632,409,775
8,18497,29586,23837,632,409,795
9,18234,29407,23616,632,409,793
10,18274,30537,24201,632,409,769
11,18622,29641,23927,632,409,777
12,18549,29688,23914,632,409,799
13,18914,29209,23857,632,409,788
14,19026,29389,24003,632,409,771
15,18810,29811,24106,632,409,784
16,18568,29697,23928,632,409,786
17,18966,29275,23916,632,409,778
18,19231,29422,24122,632,409,787
19,18779,29444,23907,632,409,806
20,19455,29488,24267,632,409,763
21,19006,29303,23950,632,409,781
22,18707,30230,24264,632,409,793
23,18728,29521,23920,632,409,790
24,18701,29338,23815,632,409,791
25,18947,29786,24162,632,409,796
26,18398,29599,23794,632,409,803
27,18676,29679,23973,632,409,790
28,18207,30284,24041,632,409,774
29,18358,29697,23823,632,409,791
30,18729,29804,24062,632,409,798
31,18553,29696,23920,632,409,766
32,19006,29523,24060,632,409,781
33,18759,29720,24035,632,409,789
34,18546,29577,23857,632,409,791
35,18553,29514,23829,632,409,762
36,18429,30166,24093,632,409,782
37,18987,29410,23994,632,409,769
38,18398,29803,23896,632,409,789
39,18835,29340,23883,632,409,780
40,18395,29898,23942,632,409,785
41,18452,29709,23876,632,409,784
42,18332,29621,23772,632,409,792
43,18438,29995,24012,632,409,785
44,18982,29383,23978,632,409,784
45,18126,30445,24081,632,409,797
46,18335,29770,23848,632,409,799
47,18679,29398,23834,632,409,788
48,18365,30518,24237,632,409,808
49,18410,29911,23956,632,409,771
50,18653,30388,24316,632,409,799
51,18369,29958,23959,632,409,773
52,18366,29887,23922,632,409,785
53,18116,30063,23885,632,409,774
54,18054,29901,23773,632,409,785
55,18571,29646,23904,632,409,796
56,18416,29773,23890,632,409,781
57,19000,29471,24031,632,409,766
58,19043,29570,24102,632,409,793
59,18231,29942,23882,632,409,793
60,18653,29590,23917,632,409,787
61,18552,29403,23773,632,409,769
62,18469,29594,23827,632,409,789
63,18691,29742,24012,632,409,793
64,18727,29434,23876,632,409,786
65,18534,29377,23751,632,409,797
66,18271,30410,24136,632,409,800
67,18827,29364,23891,632,409,786
68,18273,29572,23718,632,409,799
69,18383,29860,23917,632,409,797
70,17825,30030,23723,632,409,799
71,18725,29620,23968,632,409,771
72,18602,29803,23998,632,409,790
73,18586,30229,24203,632,409,772
74,18611,29746,23974,632,409,788
75,18464,29631,23843,632,409,775
76,17989,29956,23768,632,409,783
77,18411,29914,23958,632,409,778
78,18305,29754,23825,632,409,769
79,18502,29829,23961,632,409,771
80,18674,29669,23967,632,409,761
81,18506,30353,24225,632,409,793
82,18668,30021,24140,632,409,781
83,18680,29263,23767,632,409,776
84,18921,29606,24059,632,409,792
85,18364,29813,23884,632,409,748
86,18563,29700,23927,632,409,788
87,18889,29652,24066,632,409,790
88,18374,29625,23795,632,409,794
89,18508,29535,23817,632,409,801
90,18112,29497,23600,632,409,794
91,18488,29977,24028,632,409,782
92,18336,30033,23980,632,409,783
