sid,BUFF,NOT,AND,PI,PO,LP
0,194481,313126,235094,37603,37419,43
1,222977,285302,235430,37603,37419,42
2,188702,317529,234406,37603,37419,43
3,160586,346363,234765,37603,37419,42
4,223467,283822,234935,37603,37419,43
5,191703,315798,235041,37603,37419,43
6,224508,283397,235243,37603,37419,43
7,194861,312884,235163,37603,37419,42
8,223945,282732,234629,37603,37419,43
9,191903,315230,234857,37603,37419,43
10,160572,346413,234783,37603,37419,43
11,191956,315903,235220,37603,37419,43
12,223798,282881,234630,37603,37419,43
13,194675,312852,235054,37603,37419,43
14,193582,314999,235581,37603,37419,42
15,222580,285321,235241,37603,37419,42
16,221819,284704,234552,37603,37419,43
17,194402,313235,235109,37603,37419,42
18,194685,313504,235385,37603,37419,43
19,223315,283840,234868,37603,37419,43
20,194512,313811,235452,37603,37419,43
21,194219,312356,234578,37603,37419,42
22,221115,286900,235298,37603,37419,42
23,192645,314880,235053,37603,37419,42
24,223916,282883,234690,37603,37419,43
25,224581,282856,235009,37603,37419,43
26,191220,316529,235165,37603,37419,42
27,196036,311433,235025,37603,37419,43
28,160828,347199,235304,37603,37419,43
29,162667,344738,234993,37603,37419,43
30,224462,282861,234952,37603,37419,43
31,162227,344266,234537,37603,37419,42
32,193860,313799,235120,37603,37419,42
33,222417,285250,235124,37603,37419,43
34,222918,284631,235065,37603,37419,43
35,192509,313976,234533,37603,37419,43
36,160869,346638,235044,37603,37419,43
37,194773,313624,235489,37603,37419,43
38,192087,315200,234934,37603,37419,43
39,223249,283690,234760,37603,37419,43
40,223587,284134,235151,37603,37419,43
41,221933,284542,234528,37603,37419,43
42,222878,283615,234537,37603,37419,43
43,192979,314062,234811,37603,37419,42
44,192664,315017,235131,37603,37419,42
45,160902,346933,235208,37603,37419,43
46,221458,286167,235103,37603,37419,43
47,223086,284061,234864,37603,37419,43
48,191326,316465,235186,37603,37419,43
49,194362,313677,235310,37603,37419,42
50,191157,316184,234961,37603,37419,43
51,160722,346995,235149,37603,37419,42
52,224144,282315,234520,37603,37419,42
53,188900,317737,234609,37603,37419,43
54,222132,284839,234776,37603,37419,43
55,223934,282985,234750,37603,37419,43
56,220455,287154,235095,37603,37419,42
57,223049,283830,234730,37603,37419,43
58,223791,284326,235349,37603,37419,43
59,160651,346610,234921,37603,37419,42
60,223017,284160,234879,37603,37419,43
61,191912,315443,234968,37603,37419,43
62,222304,285233,235059,37603,37419,42
63,192237,315710,235264,37603,37419,43
64,195697,311880,235079,37603,37419,42
65,221035,285670,234643,37603,37419,42
66,191376,316613,235285,37603,37419,43
67,194581,313052,235107,37603,37419,42
68,221048,285543,234586,37603,37419,42
69,162718,344607,234953,37603,37419,43
70,222294,284321,234598,37603,37419,43
71,221994,284735,234655,37603,37419,43
72,222304,285203,235044,37603,37419,42
73,161153,347318,235526,37603,37419,43
74,222277,285058,234958,37603,37419,42
75,164390,342423,234697,37603,37419,42
76,222464,284845,234945,37603,37419,42
77,222342,284853,234888,37603,37419,43
78,191395,314724,234350,37603,37419,43
79,193899,313658,235069,37603,37419,43
80,191910,315283,234887,37603,37419,43
81,161310,346779,235335,37603,37419,43
82,191377,316564,235261,37603,37419,42
83,192571,314388,234770,37603,37419,43
84,194288,313739,235304,37603,37419,43
85,162515,344654,234875,37603,37419,43
