sid,BUFF,NOT,AND,PI,PO,LP
0,76872,136091,104087,4962,4789,40
1,74905,137938,104027,4962,4789,40
2,73476,137733,103210,4962,4789,40
3,74669,137452,103666,4962,4789,40
4,75621,137730,104281,4962,4789,40
5,75586,136803,103800,4962,4789,40
6,76479,137048,104369,4962,4789,40
7,75627,134916,102877,4962,4789,40
8,75678,136145,103517,4962,4789,40
9,74700,135577,102744,4962,4789,40
10,73925,137830,103483,4962,4789,40
11,73903,137268,103191,4962,4789,40
12,76225,136580,104008,4962,4789,40
13,73726,137105,103021,4962,4789,40
14,75044,137047,103651,4962,4789,40
15,73845,137888,103472,4962,4789,40
16,74597,136194,103001,4962,4789,40
17,73158,138295,103332,4962,4789,40
18,73633,140004,104424,4962,4789,40
19,74355,137920,103743,4962,4789,40
20,74085,138178,103737,4962,4789,40
21,73576,138957,103872,4962,4789,40
22,75459,138538,104604,4962,4789,40
23,75401,134878,102745,4962,4789,40
24,75497,137220,103964,4962,4789,40
25,76891,138090,105096,4962,4789,40
26,72865,138574,103325,4962,4789,40
27,75417,135736,103182,4962,4789,40
28,73529,137852,103296,4962,4789,40
29,75780,135299,103145,4962,4789,40
30,76212,138591,105007,4962,4789,40
31,75029,136014,103127,4962,4789,40
32,76097,136282,103795,4962,4789,40
33,74524,138531,104133,4962,4789,40
34,73520,138307,103519,4962,4789,40
35,73503,136978,102846,4962,4789,40
36,75237,138254,104351,4962,4789,40
37,75344,136995,103775,4962,4789,40
38,74384,137289,103442,4962,4789,40
39,74430,137967,103804,4962,4789,40
40,75934,137431,104288,4962,4789,40
41,74423,136132,102883,4962,4789,40
42,74275,137832,103659,4962,4789,40
43,72926,139649,103893,4962,4789,40
44,74071,137622,103452,4962,4789,40
45,74485,138838,104267,4962,4789,40
46,73718,137973,103451,4962,4789,40
47,75445,136220,103438,4962,4789,40
48,74552,141471,105617,4962,4789,40
49,74722,136655,103294,4962,4789,40
50,74694,139897,104901,4962,4789,40
51,73606,137189,103003,4962,4789,40
52,75454,136011,103338,4962,4789,40
53,72687,137852,102875,4962,4789,40
54,73767,137478,103228,4962,4789,40
55,76382,136295,103944,4962,4789,40
56,75410,136363,103492,4962,4789,40
57,74396,138869,104238,4962,4789,40
58,74524,138755,104245,4962,4789,40
59,73346,137489,103023,4962,4789,40
60,74106,138279,103798,4962,4789,40
61,73297,137012,102760,4962,4789,40
62,73254,138301,103383,4962,4789,40
63,75377,137264,103926,4962,4789,40
64,75746,134801,102879,4962,4789,40
65,74405,138014,103815,4962,4789,40
66,74023,140994,105114,4962,4789,40
67,75720,135821,103376,4962,4789,40
68,74621,136856,103344,4962,4789,40
69,75366,135227,102902,4962,4789,40
70,73022,137625,102929,4962,4789,40
71,74355,138096,103831,4962,4789,40
72,74673,137906,103895,4962,4789,40
73,74741,138590,104271,4962,4789,40
74,75814,135759,103392,4962,4789,40
75,75758,135019,102994,4962,4789,40
76,75279,137434,103962,4962,4789,40
77,75324,137119,103827,4962,4789,40
78,75595,136124,103465,4962,4789,40
79,74802,136091,103052,4962,4789,40
80,74579,135862,102826,4962,4789,40
81,74806,138539,104278,4962,4789,40
82,75647,136702,103780,4962,4789,40
83,75585,135238,103017,4962,4789,40
84,76445,135432,103544,4962,4789,40
85,73848,137003,103031,4962,4789,40
86,73987,137592,103395,4962,4789,40
87,75008,138209,104214,4962,4789,40
88,73921,137802,103467,4962,4789,40
89,75050,136355,103308,4962,4789,40
90,74667,135480,102679,4962,4789,40
91,73311,138456,103489,4962,4789,40
92,74405,138028,103822,4962,4789,40
93,75064,137673,103974,4962,4789,40
94,74118,138135,103732,4962,4789,40
95,76426,135917,103777,4962,4789,40
96,75149,135778,103069,4962,4789,40
97,75075,136240,103263,4962,4789,40
98,73802,139395,104204,4962,4789,40
99,74030,137465,103353,4962,4789,40
100,73987,136836,103017,4962,4789,40
101,74308,140395,104957,4962,4789,40
102,73413,138276,103450,4962,4789,40
103,73578,138859,103824,4962,4789,40
104,76128,136223,103781,4962,4789,40
105,77231,134868,103655,4962,4789,40
106,74732,137319,103631,4962,4789,40
107,77205,135724,104070,4962,4789,40
108,75464,137663,104169,4962,4789,40
109,76594,136097,103951,4962,4789,40
110,74085,137178,103237,4962,4789,40
111,74244,137751,103603,4962,4789,40
112,75495,137130,103918,4962,4789,40
113,75139,137190,103770,4962,4789,40
114,74355,137432,103499,4962,4789,40
115,74912,138511,104317,4962,4789,40
116,75082,136153,103223,4962,4789,40
117,75128,135929,103134,4962,4789,40
118,73918,137751,103440,4962,4789,40
119,75276,136911,103699,4962,4789,40
120,74419,137708,103669,4962,4789,40
121,74618,138757,104293,4962,4789,40
122,73428,138845,103742,4962,4789,40
123,75457,135140,102904,4962,4789,40
124,75834,136509,103777,4962,4789,40
125,75838,136559,103804,4962,4789,40
126,73249,139032,103746,4962,4789,40
127,75428,135047,102843,4962,4789,40
128,73703,136298,102606,4962,4789,40
129,74793,136344,103174,4962,4789,40
130,73859,137440,103255,4962,4789,40
131,74193,138304,103854,4962,4789,40
132,73924,138673,103904,4962,4789,40
133,75295,136518,103512,4962,4789,40
134,76467,136862,104270,4962,4789,40
135,75050,135905,103083,4962,4789,40
136,75486,137219,103958,4962,4789,40
137,76382,136503,104048,4962,4789,40
138,74597,136952,103380,4962,4789,40
139,74027,139296,104267,4962,4789,40
140,77895,137142,105124,4962,4789,40
141,72800,139077,103544,4962,4789,40
142,75085,137048,103672,4962,4789,40
143,75023,137940,104087,4962,4789,40
144,74647,140272,105065,4962,4789,40
145,73607,137972,103395,4962,4789,40
146,75828,135993,103516,4962,4789,40
147,75997,134872,103040,4962,4789,40
148,73281,138306,103399,4962,4789,40
149,74931,135760,102951,4962,4789,40
150,74297,138162,103835,4962,4789,40
151,73852,137443,103253,4962,4789,40
152,74396,136871,103239,4962,4789,40
153,75118,136911,103620,4962,4789,40
154,75445,135370,103013,4962,4789,40
155,75469,135756,103218,4962,4789,40
156,76767,138086,105032,4962,4789,40
157,74250,137403,103432,4962,4789,40
158,73691,138716,103809,4962,4789,40
159,73094,137823,103064,4962,4789,40
160,74120,137517,103424,4962,4789,40
161,73288,138311,103405,4962,4789,40
162,74693,139136,104520,4962,4789,40
163,77201,136572,104492,4962,4789,40
164,76788,135933,103966,4962,4789,40
165,75387,134910,102754,4962,4789,40
166,73868,137425,103252,4962,4789,40
167,73760,136385,102678,4962,4789,40
168,75924,136161,103648,4962,4789,40
169,73478,136981,102835,4962,4789,40
170,74363,137922,103748,4962,4789,40
171,74883,137960,104027,4962,4789,40
172,77105,137434,104875,4962,4789,40
173,73280,137293,102892,4962,4789,40
174,76763,138228,105101,4962,4789,40
