sid,BUFF,NOT,AND,PI,PO,LP
0,9132,9884,9027,1187,962,35
1,9530,10394,9481,1187,962,35
2,8372,10642,9026,1187,962,35
3,8638,10812,9244,1187,962,36
4,9058,9958,9027,1187,962,36
5,9856,10898,9896,1187,962,36
6,9333,9943,9157,1187,962,36
7,9073,10129,9120,1187,962,35
8,9184,10046,9134,1187,962,35
9,9093,10225,9178,1187,962,35
10,8429,10935,9201,1187,962,34
11,9057,10173,9134,1187,962,36
12,8997,9791,8913,1187,962,35
13,9294,10312,9322,1187,962,35
14,9424,10052,9257,1187,962,36
15,9499,10519,9528,1187,962,35
16,9008,9758,8902,1187,962,35
17,9404,10240,9341,1187,962,35
18,9162,10520,9360,1187,962,35
19,9400,10224,9331,1187,962,36
20,9980,10666,9842,1187,962,35
21,8999,10461,9249,1187,962,34
22,9065,10657,9380,1187,962,35
23,9719,10545,9651,1187,962,36
24,9213,9813,9032,1187,962,36
25,9137,10483,9329,1187,962,35
26,8668,10738,9222,1187,962,36
27,8775,10581,9197,1187,962,35
28,8501,10959,9249,1187,962,34
29,8599,10765,9201,1187,962,36
30,8919,10479,9218,1187,962,34
31,8468,10778,9142,1187,962,35
32,9767,10375,9590,1187,962,35
33,9140,9886,9032,1187,962,34
34,8841,10263,9071,1187,962,37
35,9239,10199,9238,1187,962,34
36,9157,11313,9754,1187,962,35
37,9506,10480,9512,1187,962,35
38,9596,10742,9688,1187,962,35
39,8900,9832,8885,1187,962,35
40,8880,9614,8766,1187,962,35
41,8968,9686,8846,1187,962,35
42,8993,9769,8900,1187,962,35
43,8506,10788,9166,1187,962,35
44,9844,10632,9757,1187,962,36
45,9338,11394,9885,1187,962,35
46,9160,10164,9181,1187,962,35
47,9342,10228,9304,1187,962,34
48,8486,10818,9171,1187,962,35
49,9005,10639,9341,1187,962,35
50,8873,11283,9597,1187,962,35
51,8418,11024,9240,1187,962,35
52,8965,10537,9270,1187,962,35
53,8245,10725,9004,1187,962,35
54,9021,10065,9062,1187,962,35
55,9033,10005,9038,1187,962,35
56,9010,9792,8920,1187,962,34
57,9124,10204,9183,1187,962,35
58,9474,10250,9381,1187,962,36
59,8332,10778,9074,1187,962,35
60,9360,10268,9333,1187,962,35
61,9400,10556,9497,1187,962,35
62,9150,9936,9062,1187,962,36
63,9552,10408,9499,1187,962,35
64,9384,10118,9270,1187,962,36
65,9172,9920,9065,1187,962,35
66,8537,10833,9204,1187,962,35
67,10473,10997,10254,1187,962,36
68,9010,10042,9045,1187,962,35
69,8583,10935,9278,1187,962,34
70,8637,10295,8985,1187,962,37
71,8998,9966,9001,1187,962,36
72,9078,9830,8973,1187,962,34
73,9264,11298,9800,1187,962,35
74,8938,9930,8953,1187,962,35
75,8728,10828,9297,1187,962,35
76,8599,10177,8907,1187,962,35
77,9080,9848,8983,1187,962,34
78,8901,10095,9017,1187,962,35
79,9245,10169,9226,1187,962,35
80,9397,10529,9482,1187,962,35
81,9060,11408,9753,1187,962,35
82,8582,10568,9094,1187,962,35
83,9284,10192,9257,1187,962,35
84,9785,10773,9798,1187,962,35
85,9035,10917,9495,1187,962,34
86,9372,10472,9441,1187,962,36
87,9447,10051,9268,1187,962,35
88,9180,10044,9131,1187,962,36
89,9299,10089,9213,1187,962,35
90,8902,10028,8984,1187,962,35
91,8438,10734,9105,1187,962,35
92,8815,10555,9204,1187,962,36
93,10286,10944,10134,1187,962,36
94,9355,10069,9231,1187,962,34
95,9062,9850,8975,1187,962,35
96,9426,10266,9365,1187,962,36
97,8572,11082,9346,1187,962,35
98,8529,10763,9165,1187,962,36
99,8290,10508,8918,1187,962,35
100,9573,10211,9411,1187,962,35
101,8147,10825,9005,1187,962,35
102,8874,11264,9588,1187,962,35
103,9305,10793,9568,1187,962,35
104,9101,10033,9086,1187,962,34
105,12847,13111,12498,1187,962,35
106,8789,11063,9445,1187,962,35
107,9578,10272,9444,1187,962,35
108,9014,9946,8999,1187,962,35
109,9041,10277,9178,1187,962,36
110,9014,9952,9002,1187,962,35
111,8820,10598,9228,1187,962,35
112,12382,13004,12212,1187,962,36
113,8633,10677,9174,1187,962,35
114,8583,10551,9086,1187,962,36
115,8681,10389,9054,1187,962,35
116,8633,10225,8948,1187,962,35
117,9519,10349,9453,1187,962,35
118,9130,10090,9129,1187,962,35
119,9345,10273,9328,1187,962,34
120,9019,9999,9028,1187,962,35
121,8484,10832,9177,1187,962,34
122,8542,10790,9185,1187,962,34
123,9057,10757,9426,1187,962,34
124,9267,9939,9122,1187,962,35
125,8642,10788,9234,1187,962,35
126,8500,10832,9185,1187,962,35
127,9010,9782,8915,1187,962,35
128,9211,10115,9182,1187,962,36
129,8793,10559,9195,1187,962,36
130,8631,10893,9281,1187,962,35
