sid,BUFF,NOT,AND,PI,PO,LP
0,14604,24001,17724,3429,3157,28
1,16645,22136,17812,3429,3157,28
2,14284,24309,17718,3429,3157,28
3,14517,24178,17769,3429,3157,27
4,16731,21914,17744,3429,3157,28
5,15644,23053,17770,3429,3157,28
6,15736,23003,17791,3429,3157,28
7,15573,22986,17701,3429,3157,27
8,15723,22980,17773,3429,3157,28
9,15590,22963,17698,3429,3157,28
10,14412,24273,17764,3429,3157,28
11,15440,23153,17718,3429,3157,27
12,15734,22821,17699,3429,3157,28
13,15428,23137,17704,3429,3157,27
14,14292,24305,17720,3429,3157,27
15,15867,22782,17746,3429,3157,28
16,16591,21984,17709,3429,3157,28
17,14531,24094,17734,3429,3157,28
18,14527,24194,17782,3429,3157,27
19,15431,23240,17757,3429,3157,29
20,14579,24160,17791,3429,3157,27
21,14573,24062,17739,3429,3157,28
22,15627,23146,17808,3429,3157,28
23,14534,24087,17732,3429,3157,28
24,15649,22984,17738,3429,3157,28
25,15629,23074,17773,3429,3157,28
26,14438,24187,17734,3429,3157,27
27,15577,22994,17707,3429,3157,27
28,14329,24282,17727,3429,3157,26
29,14445,24138,17713,3429,3157,27
30,15562,23213,17809,3429,3157,27
31,14449,24140,17716,3429,3157,27
32,14655,23994,17746,3429,3157,27
33,15953,22780,17788,3429,3157,28
34,14490,24231,17782,3429,3157,27
35,15585,23010,17719,3429,3157,27
36,14667,24048,17779,3429,3157,27
37,14548,24113,17752,3429,3157,28
38,15466,23165,17737,3429,3157,28
39,15441,23102,17693,3429,3157,28
40,16245,22414,17751,3429,3157,27
41,16638,21995,17738,3429,3157,28
42,16126,22455,17712,3429,3157,28
43,15694,22981,17759,3429,3157,27
44,14413,24242,17749,3429,3157,28
45,14379,24264,17743,3429,3157,28
46,15572,23083,17749,3429,3157,28
47,15525,23116,17742,3429,3157,27
48,15603,23272,17859,3429,3157,28
49,16095,22518,17728,3429,3157,27
50,15507,23234,17792,3429,3157,28
51,14412,24223,17739,3429,3157,26
52,15539,23020,17701,3429,3157,27
53,14269,24276,17694,3429,3157,27
54,16472,22167,17741,3429,3157,28
55,15788,22843,17737,3429,3157,28
56,14948,23669,17730,3429,3157,27
57,15545,23154,17771,3429,3157,28
58,15502,23287,17816,3429,3157,27
59,14294,24307,17722,3429,3157,28
60,16052,22655,17775,3429,3157,27
61,14848,23735,17713,3429,3157,28
62,14498,24103,17722,3429,3157,27
63,15031,23574,17724,3429,3157,29
64,15717,22890,17725,3429,3157,27
65,14342,24289,17737,3429,3157,27
66,15591,23206,17820,3429,3157,28
67,14673,23982,17749,3429,3157,28
68,15118,23491,17726,3429,3157,27
69,14512,24109,17732,3429,3157,28
70,16475,22138,17728,3429,3157,28
71,15996,22639,17739,3429,3157,27
72,15971,22736,17775,3429,3157,28
73,14367,24302,17756,3429,3157,27
74,14596,24009,17724,3429,3157,27
75,15511,23082,17718,3429,3157,28
76,16632,22023,17749,3429,3157,27
77,16640,22027,17755,3429,3157,28
78,15624,22999,17733,3429,3157,27
79,16082,22467,17696,3429,3157,27
80,15040,23559,17721,3429,3157,27
81,14468,24155,17733,3429,3157,28
82,14088,24629,17780,3429,3157,28
83,14544,24027,17707,3429,3157,27
84,14708,23951,17751,3429,3157,27
85,15525,23104,17736,3429,3157,28
86,15590,23033,17733,3429,3157,26
87,14528,24093,17732,3429,3157,28
88,15379,23212,17717,3429,3157,28
89,16714,21929,17743,3429,3157,27
90,16666,21899,17704,3429,3157,28
91,14412,24245,17750,3429,3157,27
92,15612,23095,17775,3429,3157,27
93,14572,24115,17765,3429,3157,27
94,14526,24101,17735,3429,3157,28
95,14663,23904,17705,3429,3157,28
96,14485,24080,17704,3429,3157,27
97,15468,23087,17699,3429,3157,28
98,14516,24231,17795,3429,3157,27
99,14555,24146,17772,3429,3157,28
100,14407,24228,17739,3429,3157,28
101,15634,23091,17784,3429,3157,28
102,14257,24350,17725,3429,3157,28
103,14565,24146,17777,3429,3157,28
104,15764,22885,17746,3429,3157,28
105,14713,23970,17763,3429,3157,28
106,15637,23028,17754,3429,3157,28
107,14727,24004,17787,3429,3157,28
108,16603,22014,17730,3429,3157,27
109,14531,24056,17715,3429,3157,28
110,14896,23691,17715,3429,3157,27
111,15391,23144,17689,3429,3157,27
112,14586,24115,17772,3429,3157,28
113,15136,23533,17756,3429,3157,27
114,15558,23071,17736,3429,3157,29
