sid,BUFF,NOT,AND,PI,PO,LP
0,66006,99461,77335,11302,10797,40
1,75510,89505,77109,11302,10797,42
2,65380,98717,76650,11302,10797,43
3,57047,108104,77177,11302,10797,43
4,75083,89312,76799,11302,10797,43
5,65641,99098,76971,11302,10797,43
6,75965,88700,76934,11302,10797,43
7,65385,98954,76771,11302,10797,41
8,75476,88735,76707,11302,10797,41
9,65008,99199,76705,11302,10797,42
10,55981,108540,76862,11302,10797,43
11,64719,99902,76912,11302,10797,39
12,75518,88487,76604,11302,10797,42
13,64888,99351,76721,11302,10797,40
14,64830,99515,76774,11302,10797,39
15,74548,90249,77000,11302,10797,42
16,75002,88935,76570,11302,10797,42
17,64950,100479,77316,11302,10797,43
18,64461,100470,77067,11302,10797,39
19,74542,90059,76902,11302,10797,43
20,65511,100320,77517,11302,10797,37
21,65011,100326,77270,11302,10797,42
22,74009,90826,77019,11302,10797,43
23,65747,98604,76777,11302,10797,43
24,75522,88727,76726,11302,10797,42
25,74127,90540,76935,11302,10797,41
26,64951,99252,76703,11302,10797,43
27,64806,99711,76860,11302,10797,41
28,56272,108369,76922,11302,10797,39
29,56874,107489,76783,11302,10797,42
30,74494,90243,76970,11302,10797,42
31,56682,107233,76559,11302,10797,42
32,65798,98807,76904,11302,10797,37
33,74346,90065,76807,11302,10797,42
34,72997,91204,76702,11302,10797,43
35,64507,99810,76760,11302,10797,41
36,57042,107549,76897,11302,10797,41
37,65098,100349,77325,11302,10797,38
38,64576,99993,76886,11302,10797,42
39,74271,89696,76585,11302,10797,43
40,75412,88839,76727,11302,10797,43
41,75202,88843,76624,11302,10797,43
42,74609,89534,76673,11302,10797,43
43,66169,98062,76717,11302,10797,41
44,64981,99418,76801,11302,10797,43
45,56308,108761,77136,11302,10797,41
46,73609,90400,76606,11302,10797,42
47,75484,88699,76693,11302,10797,41
48,67119,98048,77185,11302,10797,43
49,64814,99787,76902,11302,10797,37
50,66855,97906,76982,11302,10797,42
51,56055,108366,76812,11302,10797,39
52,73723,90512,76719,11302,10797,42
53,65213,98690,76553,11302,10797,43
54,74214,90013,76715,11302,10797,43
55,75406,88843,76726,11302,10797,41
56,74225,90040,76734,11302,10797,42
57,74418,89849,76735,11302,10797,43
58,74687,89992,76941,11302,10797,42
59,56025,108554,76891,11302,10797,42
60,74530,89885,76809,11302,10797,41
61,64649,99570,76711,11302,10797,41
62,74776,89489,76734,11302,10797,42
63,65429,99090,76861,11302,10797,42
64,65617,98872,76846,11302,10797,43
65,73495,90396,76547,11302,10797,42
66,66976,97867,77023,11302,10797,42
67,65946,99517,77333,11302,10797,43
68,75190,88697,76545,11302,10797,42
69,56906,107251,76680,11302,10797,42
70,72944,91215,76681,11302,10797,43
71,74213,89620,76518,11302,10797,42
72,74609,89836,76824,11302,10797,43
73,56188,108737,77064,11302,10797,39
74,74488,89649,76670,11302,10797,42
75,56802,107207,76606,11302,10797,43
76,73702,90549,76727,11302,10797,42
77,75356,88991,76775,11302,10797,40
78,65120,98989,76656,11302,10797,42
79,65279,99094,76788,11302,10797,39
80,65418,98747,76684,11302,10797,41
81,56931,107910,77022,11302,10797,41
82,66492,98351,77023,11302,10797,42
83,65284,98815,76651,11302,10797,43
84,65642,98959,76902,11302,10797,42
85,55953,108176,76666,11302,10797,43
86,64690,99687,76790,11302,10797,43
87,65046,99571,76910,11302,10797,41
88,64605,99828,76818,11302,10797,43
89,75259,89110,76786,11302,10797,42
90,74163,89588,76477,11302,10797,43
91,65151,99162,76758,11302,10797,42
92,74828,89761,76896,11302,10797,42
