sid,BUFF,NOT,AND,PI,PO,LP
0,13182,14808,13474,1943,1042,75
1,11584,17362,13952,1943,1042,75
2,12896,14794,13324,1943,1042,75
3,12939,14975,13436,1943,1042,75
4,11347,17325,13815,1943,1042,75
5,13151,14785,13447,1943,1042,75
6,11431,17309,13849,1943,1042,75
7,13174,14826,13479,1943,1042,75
8,11422,17154,13767,1943,1042,75
9,13002,14782,13371,1943,1042,75
10,13167,14685,13405,1943,1042,75
11,13116,14874,13474,1943,1042,75
12,12934,14924,13408,1943,1042,76
13,11534,17112,13802,1943,1042,75
14,11535,17191,13842,1943,1042,75
15,11506,17360,13912,1943,1042,75
16,12762,15206,13463,1943,1042,75
17,13158,14858,13487,1943,1042,75
18,12017,16659,13817,1943,1042,75
19,11412,17208,13789,1943,1042,76
20,12921,15383,13631,1943,1042,75
21,13013,15171,13571,1943,1042,75
22,11946,16908,13906,1943,1042,75
23,13269,14791,13509,1943,1042,75
24,11437,17135,13765,1943,1042,75
25,12828,15120,13453,1943,1042,76
26,11884,16654,13748,1943,1042,75
27,12940,14960,13429,1943,1042,75
28,12959,14925,13421,1943,1042,75
29,13009,14945,13456,1943,1042,75
30,11795,16983,13868,1943,1042,76
31,13014,14838,13405,1943,1042,75
32,13414,14830,13601,1943,1042,75
33,11467,17433,13929,1943,1042,75
34,11914,16596,13734,1943,1042,75
35,11532,17140,13815,1943,1042,75
36,12766,15660,13692,1943,1042,75
37,13245,14833,13518,1943,1042,75
38,12930,14764,13326,1943,1042,75
39,12935,14675,13284,1943,1042,75
40,11356,17380,13847,1943,1042,75
41,11306,17354,13809,1943,1042,76
42,12883,14771,13306,1943,1042,75
43,12454,15780,13596,1943,1042,75
44,13153,14851,13481,1943,1042,75
45,12981,14871,13405,1943,1042,75
46,11304,17248,13755,1943,1042,75
47,11445,17229,13816,1943,1042,75
48,11984,17460,14201,1943,1042,76
49,12908,14910,13388,1943,1042,75
50,12353,16131,13721,1943,1042,76
51,11896,16630,13742,1943,1042,75
52,13009,14853,13410,1943,1042,75
53,12841,14747,13273,1943,1042,75
54,11367,17239,13782,1943,1042,75
55,12966,14928,13426,1943,1042,76
56,11303,17269,13765,1943,1042,75
57,13023,15369,13675,1943,1042,75
58,11517,17339,13907,1943,1042,75
59,12929,14917,13402,1943,1042,75
60,11315,17273,13773,1943,1042,75
61,11834,16964,13878,1943,1042,75
62,11397,17245,13800,1943,1042,75
63,13101,14847,13453,1943,1042,75
64,12909,14683,13275,1943,1042,75
65,11402,17230,13795,1943,1042,75
66,11743,17083,13892,1943,1042,76
67,13144,14748,13425,1943,1042,75
68,11383,17191,13766,1943,1042,75
69,12047,16633,13819,1943,1042,75
70,11749,16621,13664,1943,1042,75
71,12944,14860,13381,1943,1042,75
72,11346,17278,13791,1943,1042,75
73,13021,15021,13500,1943,1042,75
74,11467,17139,13782,1943,1042,75
75,12096,16596,13825,1943,1042,75
76,11823,16877,13829,1943,1042,75
77,11333,17249,13770,1943,1042,75
78,13137,15007,13551,1943,1042,75
79,13070,14788,13408,1943,1042,75
80,11482,17250,13845,1943,1042,75
81,12996,15038,13496,1943,1042,75
82,11991,16689,13819,1943,1042,75
83,12956,14730,13322,1943,1042,75
84,12135,16921,14007,1943,1042,75
85,12978,14886,13411,1943,1042,75
86,13084,14870,13456,1943,1042,75
87,11497,17103,13779,1943,1042,75
88,12918,14854,13365,1943,1042,75
89,12838,14748,13272,1943,1042,75
90,12751,14821,13265,1943,1042,75
91,12436,15942,13668,1943,1042,75
92,11925,16839,13861,1943,1042,75
93,13199,14703,13430,1943,1042,75
94,13089,14747,13397,1943,1042,75
95,13130,14744,13416,1943,1042,75
96,13181,14795,13467,1943,1042,75
97,12475,15333,13383,1943,1042,75
98,11948,16784,13845,1943,1042,75
