sid,BUFF,NOT,AND,PI,PO,LP
0,34241,52704,41382,4561,4181,55
1,35381,51356,41278,4561,4181,59
2,34092,52201,41056,4561,4181,63
3,34904,51601,41162,4561,4181,62
4,34436,52195,41225,4561,4181,60
5,34135,52430,41192,4561,4181,62
6,35077,51512,41204,4561,4181,61
7,34715,51752,41143,4561,4181,56
8,34932,51413,41082,4561,4181,60
9,35134,51075,41014,4561,4181,62
10,33937,52772,41264,4561,4181,62
11,33269,53192,41140,4561,4181,55
12,35272,51101,41096,4561,4181,61
13,34134,52109,41031,4561,4181,60
14,33621,52602,41021,4561,4181,59
15,34767,51940,41263,4561,4181,59
16,34059,52126,41002,4561,4181,61
17,33128,53603,41275,4561,4181,55
18,33223,53804,41423,4561,4181,55
19,34126,52381,41163,4561,4181,63
20,33701,53718,41619,4561,4181,49
21,32736,54255,41405,4561,4181,61
22,33195,53890,41452,4561,4181,60
23,34685,51572,41038,4561,4181,60
24,35305,50942,41033,4561,4181,62
25,33730,53343,41446,4561,4181,62
26,33987,51936,40871,4561,4181,63
27,34554,51863,41118,4561,4181,60
28,33801,52912,41266,4561,4181,54
29,35580,51199,41299,4561,4181,56
30,34341,52564,41362,4561,4181,62
31,34459,51996,41137,4561,4181,61
32,34637,52100,41278,4561,4181,51
33,34935,51702,41228,4561,4181,62
34,32740,53525,41042,4561,4181,62
35,33494,52929,41121,4561,4181,63
36,32552,54301,41336,4561,4181,61
37,33401,53742,41481,4561,4181,49
38,34701,51924,41222,4561,4181,60
39,33024,53479,41161,4561,4181,62
40,34913,51516,41124,4561,4181,56
41,34980,51463,41131,4561,4181,56
42,35098,51333,41125,4561,4181,54
43,34412,52069,41150,4561,4181,61
44,34029,52296,41072,4561,4181,62
45,32530,54445,41397,4561,4181,63
46,33288,53063,41085,4561,4181,64
47,34925,51430,41087,4561,4181,65
48,34219,53432,41735,4561,4181,61
49,33686,52963,41234,4561,4181,49
50,34897,52554,41635,4561,4181,65
51,33188,53273,41140,4561,4181,55
52,34135,52226,41090,4561,4181,62
53,33681,52590,41045,4561,4181,63
54,33898,52391,41054,4561,4181,57
55,35401,50866,41043,4561,4181,62
56,33960,52173,40976,4561,4181,60
57,34481,52222,41261,4561,4181,61
58,33782,53051,41326,4561,4181,61
59,34768,51655,41121,4561,4181,55
60,34869,51598,41143,4561,4181,64
61,32902,53395,41058,4561,4181,62
62,33024,53249,41046,4561,4181,57
63,34222,52211,41126,4561,4181,63
64,34980,51371,41085,4561,4181,61
65,33641,52586,41023,4561,4181,63
66,33353,53826,41499,4561,4181,59
67,33786,52713,41159,4561,4181,62
68,34622,51463,40952,4561,4181,63
69,34923,51342,41042,4561,4181,60
70,33035,53026,40940,4561,4181,62
71,34329,52408,41278,4561,4181,62
72,33949,52618,41193,4561,4181,56
73,33645,53146,41305,4561,4181,54
74,34500,51737,41028,4561,4181,61
75,34954,51219,40996,4561,4181,63
76,33678,52429,40963,4561,4181,60
77,34829,51802,41225,4561,4181,58
78,33819,52474,41056,4561,4181,61
79,33482,52983,41142,4561,4181,53
80,33825,52514,41079,4561,4181,62
81,33565,53324,41354,4561,4181,60
82,35365,51344,41264,4561,4181,59
83,34180,52249,41124,4561,4181,61
84,34304,52537,41330,4561,4181,65
85,33833,52472,41062,4561,4181,61
86,33969,52468,41128,4561,4181,61
87,33624,52931,41187,4561,4181,62
88,34466,51725,41005,4561,4181,61
89,35434,50779,41016,4561,4181,59
90,34905,50978,40851,4561,4181,55
91,34136,52489,41222,4561,4181,61
92,32575,54150,41272,4561,4181,57
93,33610,53633,41531,4561,4181,49
94,32696,53625,41070,4561,4181,62
95,35066,51089,40987,4561,4181,60
96,34377,51890,41043,4561,4181,61
97,34761,51408,40994,4561,4181,65
98,33644,52981,41222,4561,4181,58
99,34777,51766,41181,4561,4181,60
100,33457,52820,41048,4561,4181,65
101,33871,53224,41457,4561,4181,54
102,33345,53174,41169,4561,4181,55
103,33976,52685,41240,4561,4181,61
104,35118,51819,41378,4561,4181,58
105,34258,52919,41498,4561,4181,63
106,34294,52149,41131,4561,4181,56
107,34313,52932,41532,4561,4181,50
108,34502,51825,41073,4561,4181,60
109,34580,51919,41159,4561,4181,62
110,33969,52290,41039,4561,4181,63
111,32085,54296,41100,4561,4181,61
112,33423,53662,41452,4561,4181,59
113,35864,50725,41204,4561,4181,64
114,34059,52102,40990,4561,4181,63
115,33412,53359,41295,4561,4181,62
116,33213,53020,41026,4561,4181,56
117,35166,51075,41030,4561,4181,62
118,32976,53319,41057,4561,4181,57
119,33749,52552,41060,4561,4181,59
120,34070,52333,41111,4561,4181,56
121,33000,53351,41085,4561,4181,60
122,34275,51930,41012,4561,4181,55
123,34030,52285,41067,4561,4181,63
124,35871,50480,41085,4561,4181,63
125,34542,52153,41257,4561,4181,59
126,33748,52913,41240,4561,4181,63
127,34547,51372,40869,4561,4181,61
128,34318,51823,40980,4561,4181,61
129,33983,52350,41076,4561,4181,62
130,34797,51386,41001,4561,4181,64
131,33740,52811,41185,4561,4181,64
132,34308,52313,41220,4561,4181,56
133,34514,51711,41022,4561,4181,58
134,34136,52699,41327,4561,4181,50
135,33983,52492,41147,4561,4181,63
136,34089,51920,40914,4561,4181,60
137,33609,53074,41251,4561,4181,50
138,34369,51692,40940,4561,4181,63
139,33000,53605,41212,4561,4181,60
140,35089,52728,41818,4561,4181,61
141,33648,52573,41020,4561,4181,55
142,33838,52303,40980,4561,4181,63
143,34109,52428,41178,4561,4181,59
144,35729,52214,41881,4561,4181,54
145,33551,53262,41316,4561,4181,52
146,34315,51956,41045,4561,4181,63
147,34547,51686,41026,4561,4181,63
148,33226,52761,40903,4561,4181,62
149,34750,51435,41002,4561,4181,63
150,33807,52386,41006,4561,4181,64
151,33457,52656,40966,4561,4181,63
152,34175,52290,41142,4561,4181,62
153,33724,52977,41260,4561,4181,59
154,34216,51997,41016,4561,4181,62
155,34190,52167,41088,4561,4181,63
156,34018,53065,41451,4561,4181,61
157,33347,53194,41180,4561,4181,59
158,33518,53185,41261,4561,4181,56
159,33961,52344,41062,4561,4181,55
160,32489,54514,41411,4561,4181,54
161,34275,52058,41076,4561,4181,61
162,32945,53718,41241,4561,4181,62
163,34265,52834,41459,4561,4181,49
164,33873,52922,41307,4561,4181,60
165,34470,51543,40916,4561,4181,61
166,34468,51839,41063,4561,4181,55
167,33026,53065,40955,4561,4181,60
168,34199,52206,41112,4561,4181,62
169,33139,52960,40959,4561,4181,63
170,33449,53050,41159,4561,4181,62
171,33079,54054,41476,4561,4181,56
172,34649,52466,41467,4561,4181,58
173,32181,53772,40886,4561,4181,60
174,34374,52367,41280,4561,4181,58
175,33832,52409,41030,4561,4181,64
176,33605,52366,40895,4561,4181,62
177,33752,52893,41232,4561,4181,62
178,33667,53238,41362,4561,4181,56
179,34200,51947,40983,4561,4181,64
180,33635,52584,41019,4561,4181,62
181,33679,53200,41349,4561,4181,62
182,34491,51806,41058,4561,4181,62
183,33189,53086,41047,4561,4181,60
184,33972,51979,40885,4561,4181,62
185,32917,53782,41259,4561,4181,54
186,33677,52976,41236,4561,4181,60
187,34897,51820,41268,4561,4181,60
188,35264,51439,41261,4561,4181,50
189,34162,52299,41140,4561,4181,61
190,32831,53280,40965,4561,4181,62
191,33740,52521,41040,4561,4181,61
192,33843,52352,41007,4561,4181,60
193,34696,51563,41039,4561,4181,60
194,34071,52664,41277,4561,4181,61
195,34435,51760,41007,4561,4181,60
196,34115,52330,41132,4561,4181,56
197,33147,52966,40966,4561,4181,61
198,33643,52558,41010,4561,4181,61
199,32900,53875,41297,4561,4181,50
200,33472,53767,41529,4561,4181,50
201,34449,52164,41216,4561,4181,56
202,33309,52878,41003,4561,4181,61
203,33718,52867,41202,4561,4181,62
204,33817,52518,41077,4561,4181,60
205,33141,53466,41213,4561,4181,49
206,33687,53320,41413,4561,4181,56
207,33713,52780,41156,4561,4181,60
208,33055,54026,41450,4561,4181,60
209,33947,52506,41136,4561,4181,63
210,34223,52772,41407,4561,4181,63
211,33691,52478,40994,4561,4181,63
212,34094,52593,41253,4561,4181,54
213,32813,53118,40875,4561,4181,60
214,34457,52452,41364,4561,4181,49
215,33931,52794,41272,4561,4181,57
216,33922,52833,41287,4561,4181,50
217,33274,53241,41167,4561,4181,60
218,34862,51759,41220,4561,4181,50
219,33580,52631,41015,4561,4181,65
220,34771,51638,41114,4561,4181,63
221,33909,52606,41167,4561,4181,64
222,35199,51366,41192,4561,4181,62
223,33307,53058,41092,4561,4181,63
224,34919,52076,41407,4561,4181,49
225,35297,51388,41252,4561,4181,62
226,32171,54456,41223,4561,4181,63
227,33822,52489,41065,4561,4181,62
228,33803,52648,41135,4561,4181,61
229,33283,53240,41171,4561,4181,61
230,34058,52253,41065,4561,4181,57
231,32704,53517,41020,4561,4181,64
232,35237,51404,41230,4561,4181,58
233,33115,53238,41086,4561,4181,57
234,33881,52674,41187,4561,4181,51
235,33435,52992,41123,4561,4181,59
236,34313,51882,41007,4561,4181,59
237,34653,51564,41018,4561,4181,58
238,34626,51629,41037,4561,4181,63
239,35025,51720,41282,4561,4181,56
240,33864,52379,41031,4561,4181,65
241,33823,52594,41118,4561,4181,62
242,34905,51578,41151,4561,4181,62
243,33537,53214,41285,4561,4181,50
244,34428,52491,41369,4561,4181,49
245,33188,53199,41103,4561,4181,63
246,33298,53467,41292,4561,4181,61
