sid,BUFF,NOT,AND,PI,PO,LP
0,9185,9528,9176,636,361,51
1,9984,8819,9221,636,361,52
2,9212,9389,9120,636,361,54
3,9295,9448,9191,636,361,53
4,9795,8732,9083,636,361,54
5,9651,9170,9230,636,361,52
6,9177,9394,9105,636,361,52
7,8891,9520,9025,636,361,52
8,9092,9447,9089,636,361,53
9,9288,8969,8948,636,361,54
10,9118,9457,9107,636,361,52
11,9453,9072,9082,636,361,51
12,9018,9577,9117,636,361,53
13,8945,9462,9023,636,361,51
14,8885,9428,8976,636,361,51
15,9649,8998,9143,636,361,52
16,9538,9021,9099,636,361,53
17,9165,9418,9111,636,361,51
18,9070,9643,9176,636,361,51
19,9354,9385,9189,636,361,53
20,9361,9540,9270,636,361,50
21,9465,9472,9288,636,361,52
22,9535,9216,9195,636,361,52
23,9030,9481,9075,636,361,52
24,8617,9420,8838,636,361,52
25,9078,9755,9236,636,361,54
26,8657,9580,8938,636,361,53
27,8634,9623,8948,636,361,51
28,9217,9372,9114,636,361,52
29,8767,9534,8970,636,361,52
30,9002,9557,9099,636,361,54
31,8718,9669,9013,636,361,51
32,9022,9577,9119,636,361,51
33,9591,8938,9084,636,361,51
34,8808,9577,9012,636,361,52
35,9272,9107,9009,636,361,51
36,9543,9358,9270,636,361,52
37,9232,9479,9175,636,361,51
38,9326,9151,9058,636,361,53
39,9108,9475,9111,636,361,52
40,9158,9081,8939,636,361,51
41,9389,8956,8992,636,361,54
42,9492,9055,9093,636,361,54
43,8672,9795,9053,636,361,52
44,9221,9442,9151,636,361,51
45,9385,9310,9167,636,361,51
46,9228,8961,8914,636,361,53
47,8974,9385,8999,636,361,52
48,9470,9275,9192,636,361,54
49,9013,9432,9042,636,361,50
50,9857,9260,9378,636,361,54
51,8753,9474,8933,636,361,50
52,8688,9767,9047,636,361,52
53,9063,9308,9005,636,361,53
54,9050,9137,8913,636,361,54
55,8939,9578,9078,636,361,54
56,8987,9092,8859,636,361,51
57,9078,9545,9131,636,361,53
58,9616,9315,9285,636,361,52
59,9232,9303,9087,636,361,53
60,9389,9008,9018,636,361,54
61,9323,9006,8984,636,361,51
62,9005,9312,8978,636,361,52
63,9380,9145,9082,636,361,52
64,8869,9514,9011,636,361,52
65,8981,9308,8964,636,361,53
66,9534,9273,9223,636,361,54
67,9176,9565,9190,636,361,53
68,8847,9220,8853,636,361,53
69,8619,9604,8931,636,361,52
70,8938,9335,8956,636,361,53
71,9205,9162,9003,636,361,51
72,9408,8951,8999,636,361,51
73,9122,9645,9203,636,361,51
74,8925,9450,9007,636,361,51
75,8649,9622,8955,636,361,53
76,8960,9295,8947,636,361,52
77,9462,8983,9042,636,361,52
78,9231,9224,9047,636,361,52
79,9185,9178,9001,636,361,52
80,9049,9296,8992,636,361,52
81,9131,9482,9126,636,361,52
82,9120,9437,9098,636,361,51
83,8738,9567,8972,636,361,52
84,9054,9713,9203,636,361,52
85,8726,9507,8936,636,361,52
86,9359,8950,8974,636,361,53
87,8930,9529,9049,636,361,52
88,9351,9156,9073,636,361,53
89,9553,8806,8999,636,361,54
90,9227,9026,8946,636,361,54
91,8773,9780,9096,636,361,52
92,9695,9056,9195,636,361,52
93,9309,9460,9204,636,361,50
94,9044,9351,9017,636,361,51
95,8819,9432,8945,636,361,52
96,8845,9500,8992,636,361,51
97,8637,9696,8986,636,361,54
98,8897,9740,9138,636,361,52
99,9326,9315,9140,636,361,50
100,8897,9492,9014,636,361,53
101,9576,9131,9173,636,361,54
102,8957,9344,8970,636,361,52
103,9149,9622,9205,636,361,51
104,8790,9391,8910,636,361,53
105,9397,9688,9362,636,361,53
106,9099,9176,8957,636,361,52
107,9410,9557,9303,636,361,50
108,9594,8789,9011,636,361,53
109,8818,9551,9004,636,361,51
110,9255,9246,9070,636,361,53
111,8789,9558,8993,636,361,52
112,9446,9643,9364,636,361,52
113,8935,9408,8991,636,361,53
114,9237,9278,9077,636,361,53
115,8992,9289,8960,636,361,53
116,8777,9472,8944,636,361,51
117,9508,9013,9080,636,361,52
118,8766,9467,8936,636,361,51
119,9388,8991,9009,636,361,52
120,9315,9016,8985,636,361,51
121,8927,9592,9079,636,361,50
122,8952,9533,9062,636,361,52
123,9034,9755,9214,636,361,53
124,8787,9514,8970,636,361,52
125,8795,9736,9085,636,361,52
126,8725,9698,9031,636,361,53
127,8667,9512,8909,636,361,53
128,8981,9436,9028,636,361,53
129,8992,9409,9020,636,361,53
130,8769,9682,9045,636,361,52
131,9294,9153,9043,636,361,51
132,9138,9467,9122,636,361,54
133,8686,9523,8924,636,361,53
134,8684,9821,9072,636,361,50
135,9262,9133,9017,636,361,53
136,9351,8890,8940,636,361,53
137,9355,9036,9015,636,361,51
138,9418,8867,8962,636,361,52
139,8955,9720,9157,636,361,53
140,9652,9435,9363,636,361,54
141,8777,9508,8962,636,361,53
142,9057,9346,9021,636,361,52
143,9015,9536,9095,636,361,52
144,9830,9175,9322,636,361,54
145,9191,9486,9158,636,361,51
146,9069,9452,9080,636,361,52
147,8673,9630,8971,636,361,52
148,8902,9377,8959,636,361,53
149,8694,9499,8916,636,361,52
150,9266,9115,9010,636,361,52
151,9158,9281,9039,636,361,54
152,9118,9411,9084,636,361,53
153,9072,9245,8978,636,361,53
154,8764,9609,9006,636,361,52
155,8587,9884,9055,636,361,53
156,9072,9865,9288,636,361,54
157,9571,8952,9081,636,361,52
158,9196,9253,9044,636,361,52
159,8798,9603,9020,636,361,53
160,9229,9354,9111,636,361,51
161,8631,9798,9034,636,361,52
162,9057,9548,9122,636,361,52
163,8807,9876,9161,636,361,50
164,9335,9426,9200,636,361,52
165,8717,9472,8914,636,361,52
166,9005,9424,9034,636,361,53
167,9245,9082,8983,636,361,51
168,8770,9587,8998,636,361,51
169,8828,9303,8885,636,361,53
170,9455,9092,9093,636,361,52
171,8913,9430,8991,636,361,52
172,9042,9627,9154,636,361,54
173,8652,9419,8855,636,361,51
174,9774,8749,9081,636,361,52
175,9103,9336,9039,636,361,54
176,8967,9084,8845,636,361,53
177,8960,9495,9047,636,361,53
178,8885,9688,9106,636,361,51
179,8631,9506,8888,636,361,52
180,9176,9371,9093,636,361,53
181,8747,9738,9062,636,361,52
182,8897,9368,8952,636,361,51
183,8934,9569,9071,636,361,52
184,8877,9258,8887,636,361,51
185,8983,9466,9044,636,361,51
186,8843,9694,9088,636,361,52
187,8638,9699,8988,636,361,52
188,8798,9643,9040,636,361,51
189,9113,9326,9039,636,361,53
