sid,BUFF,NOT,AND,PI,PO,LP
0,53488,36971,44192,2122,2075,21
1,53998,38069,44996,2122,2075,22
2,54292,37173,44695,2122,2075,21
3,53162,37027,44057,2122,2075,22
4,55169,35518,44306,2122,2075,21
5,53617,36836,44189,2122,2075,23
6,54665,36232,44411,2122,2075,21
7,53885,36126,43968,2122,2075,22
8,52800,37813,44269,2122,2075,22
9,53786,36291,44001,2122,2075,22
10,52453,37932,44155,2122,2075,22
11,53188,36971,44042,2122,2075,21
12,52958,37649,44266,2122,2075,22
13,54824,35493,44121,2122,2075,21
14,54969,35830,44362,2122,2075,21
15,55229,35604,44379,2122,2075,21
16,55272,35399,44298,2122,2075,21
17,55317,35030,44136,2122,2075,23
18,52108,39069,44551,2122,2075,22
19,53574,37123,44311,2122,2075,23
20,53320,37343,44294,2122,2075,22
21,55206,35771,44451,2122,2075,21
22,54543,37116,44792,2122,2075,22
23,52771,37648,44172,2122,2075,23
24,52764,38427,44558,2122,2075,21
25,54268,37411,44802,2122,2075,22
26,54763,35194,43941,2122,2075,21
27,52981,37424,44165,2122,2075,21
28,52222,38053,44100,2122,2075,21
29,54861,35878,44332,2122,2075,21
30,54315,37362,44801,2122,2075,22
31,52119,38936,44490,2122,2075,21
32,53623,36480,44014,2122,2075,21
33,55154,35621,44350,2122,2075,21
34,54547,36892,44682,2122,2075,22
35,52270,38595,44395,2122,2075,21
36,55167,35610,44351,2122,2075,21
37,53532,37047,44252,2122,2075,22
38,53927,36302,44077,2122,2075,21
39,54876,35939,44370,2122,2075,22
40,54626,36029,44290,2122,2075,21
41,55172,35871,44484,2122,2075,22
42,54743,35664,44166,2122,2075,22
43,54410,36523,44429,2122,2075,21
44,53159,36806,43945,2122,2075,23
45,54211,36580,44358,2122,2075,21
46,54641,36588,44577,2122,2075,21
47,55340,35159,44212,2122,2075,22
48,53647,38236,44904,2122,2075,22
49,52713,37086,43862,2122,2075,21
50,54083,37692,44850,2122,2075,22
51,51744,39211,44440,2122,2075,21
52,54936,35287,44074,2122,2075,21
53,52247,38472,44322,2122,2075,21
54,54381,36440,44373,2122,2075,21
55,55077,35462,44232,2122,2075,21
56,52416,38371,44356,2122,2075,21
57,55302,35713,44470,2122,2075,21
58,54426,37247,44799,2122,2075,22
59,54986,35125,44018,2122,2075,23
60,55112,35539,44288,2122,2075,22
61,53020,36827,43886,2122,2075,21
62,52732,38477,44567,2122,2075,22
63,55114,35289,44164,2122,2075,22
64,52762,37989,44338,2122,2075,21
65,54539,36110,44287,2122,2075,21
66,53778,37579,44641,2122,2075,22
67,53670,36937,44266,2122,2075,23
68,52052,38961,44469,2122,2075,21
69,55097,35074,44048,2122,2075,21
70,53538,37861,44662,2122,2075,21
71,54382,36485,44396,2122,2075,21
72,54421,36456,44401,2122,2075,21
73,52141,37980,44023,2122,2075,22
74,52437,38296,44329,2122,2075,21
75,52516,37769,44105,2122,2075,21
76,54872,35817,44307,2122,2075,22
77,55012,35637,44287,2122,2075,21
78,53042,36879,43923,2122,2075,22
79,53096,36929,43975,2122,2075,22
80,54468,35953,44173,2122,2075,22
81,52579,38204,44354,2122,2075,22
82,55022,35317,44132,2122,2075,21
83,55424,34685,44017,2122,2075,21
84,53275,36856,44028,2122,2075,21
85,55408,34567,43950,2122,2075,21
86,52877,37194,43998,2122,2075,22
87,52795,37664,44192,2122,2075,22
88,53641,36842,44204,2122,2075,21
89,53216,37067,44104,2122,2075,22
90,54963,35672,44280,2122,2075,21
