sid,BUFF,NOT,AND,PI,PO,LP
0,3568,4040,3453,828,702,25
1,3530,4220,3524,828,702,27
2,3047,4491,3418,828,702,25
3,3095,4569,3481,828,702,26
4,3448,4224,3485,828,702,26
5,3494,4230,3511,828,702,26
6,3588,4016,3451,828,702,27
7,3576,4084,3479,828,702,26
8,3734,4102,3567,828,702,26
9,3405,4139,3421,828,702,26
10,3117,4547,3481,828,702,25
11,3385,4231,3457,828,702,25
12,3536,4016,3425,828,702,25
13,3544,4100,3471,828,702,27
14,3522,4110,3465,828,702,26
15,3470,4258,3513,828,702,27
16,3434,4146,3439,828,702,26
17,3633,4117,3524,828,702,27
18,3582,4112,3496,828,702,27
19,3621,4119,3519,828,702,27
20,3555,4113,3483,828,702,26
21,3551,4033,3441,828,702,25
22,3466,4216,3490,828,702,27
23,3600,4094,3496,828,702,25
24,3593,4059,3475,828,702,26
25,3746,4210,3627,828,702,25
26,3227,4399,3462,828,702,26
27,3525,4093,3458,828,702,25
28,3108,4606,3506,828,702,26
29,3260,4454,3506,828,702,28
30,3627,4195,3560,828,702,24
31,3241,4391,3465,828,702,27
32,3578,4004,3440,828,702,27
33,3445,4237,3490,828,702,26
34,3509,4071,3439,828,702,26
35,3477,4203,3489,828,702,27
36,3093,4515,3453,828,702,26
37,3589,4127,3507,828,702,26
38,3469,4203,3485,828,702,26
39,3577,4031,3453,828,702,26
40,3431,4241,3485,828,702,26
41,3475,4165,3469,828,702,26
42,3470,4230,3499,828,702,28
43,3210,4396,3452,828,702,26
44,3608,4118,3512,828,702,26
45,3261,4627,3593,828,702,26
46,3395,4149,3421,828,702,24
47,3695,4099,3546,828,702,27
48,3260,4704,3631,828,702,27
49,3373,4271,3471,828,702,25
50,3286,4674,3629,828,702,27
51,3047,4561,3453,828,702,25
52,3585,4089,3486,828,702,26
53,3023,4495,3408,828,702,26
54,3431,4199,3464,828,702,26
55,3588,4008,3447,828,702,26
56,3334,4182,3407,828,702,26
57,3631,4059,3494,828,702,26
58,3666,4088,3526,828,702,27
59,3127,4539,3482,828,702,26
60,3474,4100,3436,828,702,26
61,3474,4196,3484,828,702,27
62,3560,4090,3474,828,702,25
63,3375,4203,3438,828,702,27
64,3567,4061,3463,828,702,27
65,3590,4094,3491,828,702,27
66,3210,4708,3608,828,702,28
67,3636,4086,3510,828,702,27
68,3427,4145,3435,828,702,26
69,3263,4415,3488,828,702,27
70,3397,4211,3453,828,702,27
71,3505,4235,3519,828,702,27
72,3425,4247,3485,828,702,27
73,3068,4604,3485,828,702,25
74,3583,4063,3472,828,702,26
75,3226,4378,3451,828,702,25
76,3457,4229,3492,828,702,27
77,3466,4150,3457,828,702,26
78,3442,4158,3449,828,702,27
79,3399,4211,3454,828,702,25
80,3527,4243,3534,828,702,27
81,3097,4509,3452,828,702,27
82,3256,4422,3488,828,702,26
83,3509,4005,3406,828,702,27
84,3613,4051,3481,828,702,25
85,3068,4526,3446,828,702,25
86,3423,4237,3479,828,702,25
87,3566,4030,3447,828,702,27
88,3421,4241,3480,828,702,27
89,3448,4128,3437,828,702,25
90,3451,4217,3483,828,702,26
91,3202,4396,3448,828,702,26
92,3461,4243,3501,828,702,26
93,3584,4102,3492,828,702,27
94,3541,4035,3437,828,702,25
95,3550,4072,3460,828,702,27
96,3577,4075,3475,828,702,27
97,3198,4320,3408,828,702,27
98,3252,4434,3492,828,702,27
99,3099,4579,3488,828,702,25
100,3530,4026,3427,828,702,26
101,3183,4603,3542,828,702,26
102,3078,4564,3470,828,702,26
103,3595,4071,3482,828,702,24
104,3639,4147,3542,828,702,24
105,3664,4068,3515,828,702,26
106,3160,4538,3498,828,702,27
107,3652,4046,3498,828,702,27
108,3412,4236,3473,828,702,27
109,3540,4070,3454,828,702,25
110,3409,4177,3442,828,702,24
111,3442,4294,3517,828,702,27
112,3638,4126,3531,828,702,26
113,3299,4449,3523,828,702,27
114,3111,4557,3483,828,702,28
115,3516,4244,3529,828,702,26
116,3492,4116,3453,828,702,25
117,3425,4165,3444,828,702,26
118,3495,4033,3413,828,702,25
119,3548,4194,3520,828,702,26
120,3422,4242,3481,828,702,27
121,3201,4351,3425,828,702,25
122,3304,4460,3531,828,702,27
123,3539,4089,3463,828,702,26
124,3596,4042,3468,828,702,25
125,3207,4437,3471,828,702,27
126,3256,4466,3510,828,702,27
127,3568,4080,3473,828,702,26
128,3604,4068,3485,828,702,28
129,3402,4264,3482,828,702,28
130,3210,4366,3437,828,702,25
131,3486,4184,3484,828,702,26
132,3621,4061,3490,828,702,26
133,3258,4356,3456,828,702,27
134,3428,4116,3421,828,702,25
135,3434,4164,3448,828,702,26
136,3431,4241,3485,828,702,27
137,3520,4224,3521,828,702,25
138,3455,4171,3462,828,702,27
139,3563,4141,3501,828,702,27
140,3778,4180,3628,828,702,27
141,3127,4549,3487,828,702,27
142,3110,4564,3486,828,702,28
143,3116,4528,3471,828,702,27
144,3370,4784,3726,828,702,27
145,3630,4124,3526,828,702,26
146,3563,4043,3452,828,702,28
147,3232,4370,3450,828,702,25
148,3119,4533,3475,828,702,27
149,3297,4437,3516,828,702,25
150,3403,4159,3430,828,702,26
151,3510,3998,3403,828,702,25
152,3090,4506,3447,828,702,26
153,3436,4272,3503,828,702,26
154,3573,4025,3448,828,702,26
155,3544,4144,3493,828,702,27
156,3641,4201,3570,828,702,27
157,3488,4218,3502,828,702,27
158,3138,4628,3532,828,702,27
159,3273,4415,3493,828,702,27
160,3145,4567,3505,828,702,27
161,3190,4402,3445,828,702,26
162,3597,4073,3484,828,702,26
163,3490,4134,3461,828,702,25
164,3585,4083,3483,828,702,27
165,3587,4033,3459,828,702,26
166,3619,4131,3524,828,702,27
167,3441,4225,3482,828,702,24
168,3215,4323,3418,828,702,26
169,3622,4076,3498,828,702,27
170,3439,4233,3485,828,702,27
171,3496,4254,3524,828,702,24
172,3777,4229,3652,828,702,26
173,3324,4266,3444,828,702,25
174,3537,4199,3517,828,702,26
